test case : A100SXM_flash_attn::flash_attn.flash_attn_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D  |        flops_2D        | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[2, 256, 1, 64], [2, 256, 1, 64], [2, 256, 1, 64]]        |  bf16  |      13.52       |       13.55       |      13.62       |       2.32        |  [3584]   |     [65536, 65536]     |   [512]   |      2.75e-05      |      3.50e-05      |      5.66e-05       |  2.62e+05  |       0.00%        |       0.00%        |        0.01%        |    1.90%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[4, 256, 1, 64], [4, 256, 1, 64], [4, 256, 1, 64]]        |  bf16  |      13.62       |       13.63       |      13.67       |       2.64        |  [7168]   |    [131072, 131072]    |  [1024]   |      5.47e-05      |      6.94e-05      |      1.12e-04       |  5.24e+05  |       0.01%        |       0.01%        |        0.01%        |    3.78%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[8, 256, 1, 64], [8, 256, 1, 64], [8, 256, 1, 64]]        |  bf16  |      13.62       |       13.67       |      13.72       |       3.29        |  [14336]  |    [262144, 262144]    |  [2048]   |      1.09e-04      |      1.39e-04      |      2.25e-04       |  1.05e+06  |       0.01%        |       0.01%        |        0.02%        |    7.55%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[16, 256, 1, 64], [16, 256, 1, 64], [16, 256, 1, 64]]       |  bf16  |      13.67       |       13.71       |      13.72       |       4.57        |  [28672]  |    [524288, 524288]    |  [4096]   |      2.18e-04      |      2.77e-04      |      4.48e-04       |  2.10e+06  |       0.02%        |       0.03%        |        0.04%        |    15.05%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[32, 256, 1, 64], [32, 256, 1, 64], [32, 256, 1, 64]]       |  bf16  |      13.93       |       13.97       |      13.98       |       7.14        |  [57344]  |   [1048576, 1048576]   |  [8192]   |      4.28e-04      |      5.43e-04      |      8.80e-04       |  4.19e+06  |       0.04%        |       0.05%        |        0.09%        |    29.54%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[1, 512, 1, 64], [1, 512, 1, 64], [1, 512, 1, 64]]        |  bf16  |      14.75       |       14.77       |      14.80       |       2.32        |  [3584]   |     [65536, 65536]     |   [512]   |      2.52e-05      |      3.21e-05      |      5.19e-05       |  2.62e+05  |       0.00%        |       0.00%        |        0.01%        |    1.74%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[2, 512, 1, 64], [2, 512, 1, 64], [2, 512, 1, 64]]        |  bf16  |      15.26       |       15.30       |      15.31       |       2.64        |  [7168]   |    [131072, 131072]    |  [1024]   |      4.88e-05      |      6.20e-05      |      1.00e-04       |  5.24e+05  |       0.00%        |       0.01%        |        0.01%        |    3.37%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[4, 512, 1, 64], [4, 512, 1, 64], [4, 512, 1, 64]]        |  bf16  |      15.82       |       15.86       |      15.87       |       3.29        |  [14336]  |    [262144, 262144]    |  [2048]   |      9.41e-05      |      1.19e-04      |      1.94e-04       |  1.05e+06  |       0.01%        |       0.01%        |        0.02%        |    6.50%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[8, 512, 1, 64], [8, 512, 1, 64], [8, 512, 1, 64]]        |  bf16  |      20.48       |       20.50       |      20.53       |       4.57        |  [28672]  |    [524288, 524288]    |  [4096]   |      1.45e-04      |      1.85e-04      |      2.99e-04       |  2.10e+06  |       0.01%        |       0.02%        |        0.03%        |    10.04%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[16, 512, 1, 64], [16, 512, 1, 64], [16, 512, 1, 64]]       |  bf16  |      20.68       |       20.73       |      20.79       |       7.14        |  [57344]  |   [1048576, 1048576]   |  [8192]   |      2.88e-04      |      3.66e-04      |      5.92e-04       |  4.19e+06  |       0.03%        |       0.04%        |        0.06%        |    19.89%    |
