Test Case: A100SXM_apex_fused_layer_norm_cuda.rms_forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
|  128  | 3072  | [3072]  | 0.0001  |  [[128, 3072]]   | bf16  |       7.07       |       7.09        |       7.12       |        2.96        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        2.28%        |        2.28%         |    10.91%     |
|  256  | 3072  | [3072]  | 0.0001  |  [[256, 3072]]   | bf16  |       7.42       |       7.44        |       7.48       |        3.93        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        4.35%        |        4.35%         |    20.79%     |
|  512  | 3072  | [3072]  | 0.0001  |  [[512, 3072]]   | bf16  |       8.76       |        8.8        |       8.86       |        5.86        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        7.37%        |        7.37%         |    35.22%     |
| 1024  | 3072  | [3072]  | 0.0001  |  [[1024, 3072]]  | bf16  |      14.13       |       14.27       |      14.39       |        9.71        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        9.13%        |        9.13%         |    43.67%     |
| 2048  | 3072  | [3072]  | 0.0001  |  [[2048, 3072]]  | bf16  |      24.63       |       24.71       |      24.78       |       17.43        | 5.03e+07 | 6.29e+06  | 1.26e+07 |       10.48%        |        10.48%        |    50.11%     |
| 4096  | 3072  | [3072]  | 0.0001  |  [[4096, 3072]]  | bf16  |      52.38       |       52.45       |      52.53       |       32.86        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        9.86%        |        9.86%         |    47.13%     |
| 8192  | 3072  | [3072]  | 0.0001  |  [[8192, 3072]]  | bf16  |      96.56       |       96.74       |      96.92       |       63.71        | 2.01e+08 | 2.52e+07  | 5.03e+07 |       10.69%        |        10.69%        |    51.13%     |
| 16384 | 3072  | [3072]  | 0.0001  | [[16384, 3072]]  | bf16  |      181.56      |      181.69       |      181.81      |       125.42       | 4.03e+08 | 5.03e+07  | 1.01e+08 |       11.37%        |        11.37%        |    54.38%     |
| 32768 | 3072  | [3072]  | 0.0001  | [[32768, 3072]]  | bf16  |      355.79      |      355.93       |      356.04      |       248.84       | 8.05e+08 | 1.01e+08  | 2.01e+08 |       11.61%        |        11.61%        |     55.5%     |
| 65536 | 3072  | [3072]  | 0.0001  | [[65536, 3072]]  | bf16  |      701.44      |      701.74       |      702.05      |       495.69       | 1.61e+09 | 2.01e+08  | 4.03e+08 |       11.78%        |        11.78%        |    56.31%     |
|   1   | 6144  | [6144]  | 0.0001  |   [[1, 6144]]    | bf16  |       7.88       |       7.91        |       7.94       |        2.02        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.03%        |        0.03%         |     0.15%     |
|   2   | 6144  | [6144]  | 0.0001  |   [[2, 6144]]    | bf16  |       7.99       |       8.04        |       8.09       |        2.03        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.06%        |        0.06%         |     0.3%      |
|   4   | 6144  | [6144]  | 0.0001  |   [[4, 6144]]    | bf16  |       7.99       |       8.02        |       8.04       |        2.06        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.13%        |        0.13%         |     0.6%      |
|   8   | 6144  | [6144]  | 0.0001  |   [[8, 6144]]    | bf16  |       8.09       |       8.11        |       8.14       |        2.12        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.25%        |        0.25%         |     1.19%     |
|  16   | 6144  | [6144]  | 0.0001  |   [[16, 6144]]   | bf16  |       8.19       |       8.19        |       8.19       |        2.24        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.49%        |        0.49%         |     2.35%     |
|  32   | 6144  | [6144]  | 0.0001  |   [[32, 6144]]   | bf16  |       8.19       |       8.22        |       8.24       |        2.48        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        0.98%        |        0.98%         |     4.71%     |
|  64   | 6144  | [6144]  | 0.0001  |   [[64, 6144]]   | bf16  |       8.24       |       8.27        |       8.29       |        2.96        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        1.96%        |        1.96%         |     9.36%     |
|  128  | 6144  | [6144]  | 0.0001  |  [[128, 6144]]   | bf16  |       8.5        |       8.53        |       8.55       |        3.93        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        3.8%         |         3.8%         |    18.15%     |
|  256  | 6144  | [6144]  | 0.0001  |  [[256, 6144]]   | bf16  |       8.91       |       8.93        |       8.96       |        5.86        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        7.24%        |        7.24%         |    34.63%     |
|  512  | 6144  | [6144]  | 0.0001  |  [[512, 6144]]   | bf16  |      11.88       |       11.91       |      11.93       |        9.71        | 2.52e+07 | 3.15e+06  | 6.29e+06 |       10.86%        |        10.86%        |    51.95%     |
| 1024  | 6144  | [6144]  | 0.0001  |  [[1024, 6144]]  | bf16  |      25.86       |       26.11       |      26.37       |       17.43        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        9.98%        |        9.98%         |    47.73%     |
| 2048  | 6144  | [6144]  | 0.0001  |  [[2048, 6144]]  | bf16  |      64.26       |       64.43       |      64.56       |       32.86        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        8.03%        |        8.03%         |    38.41%     |
| 4096  | 6144  | [6144]  | 0.0001  |  [[4096, 6144]]  | bf16  |      134.66      |       135.0       |      135.32      |       63.71        | 2.01e+08 | 2.52e+07  | 5.03e+07 |        7.67%        |        7.67%         |    36.66%     |
| 8192  | 6144  | [6144]  | 0.0001  |  [[8192, 6144]]  | bf16  |      251.49      |      251.68       |      251.85      |       125.42       | 4.03e+08 | 5.03e+07  | 1.01e+08 |        8.21%        |        8.21%         |    39.26%     |
| 16384 | 6144  | [6144]  | 0.0001  | [[16384, 6144]]  | bf16  |      486.55      |      486.65       |      486.76      |       248.84       | 8.05e+08 | 1.01e+08  | 2.01e+08 |        8.49%        |        8.49%         |    40.59%     |
| 32768 | 6144  | [6144]  | 0.0001  | [[32768, 6144]]  | bf16  |      847.26      |      891.82       |      953.75      |       495.69       | 1.61e+09 | 2.01e+08  | 4.03e+08 |        9.75%        |        9.75%         |    46.62%     |
| 65536 | 6144  | [6144]  | 0.0001  | [[65536, 6144]]  | bf16  |     1661.34      |      1742.89      |     1875.25      |       989.38       | 3.22e+09 | 4.03e+08  | 8.05e+08 |        9.94%        |        9.94%         |    47.55%     |
|   1   | 8192  | [8192]  | 0.0001  |   [[1, 8192]]    | bf16  |       9.63       |       9.68        |       9.73       |        2.02        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.03%        |        0.03%         |     0.17%     |
|   2   | 8192  | [8192]  | 0.0001  |   [[2, 8192]]    | bf16  |       9.73       |       9.76        |       9.78       |        2.04        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.07%        |        0.07%         |     0.33%     |
|   4   | 8192  | [8192]  | 0.0001  |   [[4, 8192]]    | bf16  |       9.78       |       9.81        |       9.83       |        2.08        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.14%        |        0.14%         |     0.66%     |
|   8   | 8192  | [8192]  | 0.0001  |   [[8, 8192]]    | bf16  |       9.83       |       9.89        |       9.93       |        2.16        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.27%        |        0.27%         |     1.31%     |
|  16   | 8192  | [8192]  | 0.0001  |   [[16, 8192]]   | bf16  |       9.98       |       10.01       |      10.04       |        2.32        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.54%        |        0.54%         |     2.58%     |
|  32   | 8192  | [8192]  | 0.0001  |   [[32, 8192]]   | bf16  |       9.98       |       10.01       |      10.04       |        2.64        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        1.08%        |        1.08%         |     5.15%     |
