Test Case: A100SXM_aten_silu
|   M   |   N   |  B  |    input_shape     | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   4   | 2048  | N/A |    [[4, 2048]]     | bf16  |       3.58       |       3.61        |       3.64       |        2.02        | 1.06e+05 | 1.64e+04 |      0.15%       |     0.45%     |
|   8   | 2048  | N/A |    [[8, 2048]]     | bf16  |       3.64       |       3.69        |       3.74       |        2.04        | 2.13e+05 | 3.28e+04 |       0.3%       |     0.88%     |
|  16   | 2048  | N/A |    [[16, 2048]]    | bf16  |       3.89       |       3.92        |       3.94       |        2.08        | 4.26e+05 | 6.55e+04 |      0.56%       |     1.65%     |
|  32   | 2048  | N/A |    [[32, 2048]]    | bf16  |       3.94       |       3.99        |       4.04       |        2.16        | 8.52e+05 | 1.31e+05 |      1.11%       |     3.26%     |
|  64   | 2048  | N/A |    [[64, 2048]]    | bf16  |       4.2        |       4.23        |       4.25       |        2.32        | 1.70e+06 | 2.62e+05 |      2.08%       |     6.12%     |
|  128  | 2048  | N/A |   [[128, 2048]]    | bf16  |       4.4        |       4.42        |       4.45       |        2.64        | 3.41e+06 | 5.24e+05 |      3.97%       |    11.69%     |
|  256  | 2048  | N/A |   [[256, 2048]]    | bf16  |       5.12       |       5.16        |       5.22       |        3.29        | 6.82e+06 | 1.05e+06 |      6.83%       |    20.09%     |
|  512  | 2048  | N/A |   [[512, 2048]]    | bf16  |       6.76       |       6.79        |       6.81       |        4.57        | 1.36e+07 | 2.10e+06 |      10.34%      |    30.43%     |
| 1024  | 2048  | N/A |   [[1024, 2048]]   | bf16  |       9.32       |       9.37        |       9.42       |        7.14        | 2.73e+07 | 4.19e+06 |      15.0%       |    44.14%     |
| 2048  | 2048  | N/A |   [[2048, 2048]]   | bf16  |       15.1       |       15.13       |      15.16       |       12.29        | 5.45e+07 | 8.39e+06 |      18.52%      |    54.49%     |
| 4096  | 2048  | N/A |   [[4096, 2048]]   | bf16  |      30.72       |       30.79       |      30.87       |       22.57        | 1.09e+08 | 1.68e+07 |      18.2%       |    53.57%     |
| 8192  | 2048  | N/A |   [[8192, 2048]]   | bf16  |       57.4       |       57.47       |      57.55       |       43.14        | 2.18e+08 | 3.36e+07 |      19.49%      |    57.34%     |
| 16384 | 2048  | N/A |  [[16384, 2048]]   | bf16  |      110.08      |      110.16       |      110.23      |       84.28        | 4.36e+08 | 6.71e+07 |      20.32%      |     59.8%     |
| 32768 | 2048  | N/A |  [[32768, 2048]]   | bf16  |      216.06      |       216.2       |      216.32      |       166.56       | 8.72e+08 | 1.34e+08 |      20.71%      |    60.93%     |
|   1   | 3072  | N/A |    [[1, 3072]]     | bf16  |       3.69       |       3.72        |       3.74       |        2.01        | 3.99e+04 | 6.14e+03 |      0.06%       |     0.16%     |
|   2   | 3072  | N/A |    [[2, 3072]]     | bf16  |       3.58       |       3.61        |       3.64       |        2.02        | 7.99e+04 | 1.23e+04 |      0.11%       |     0.34%     |
|   4   | 3072  | N/A |    [[4, 3072]]     | bf16  |       3.64       |       3.69        |       3.74       |        2.03        | 1.60e+05 | 2.46e+04 |      0.23%       |     0.66%     |
|   8   | 3072  | N/A |    [[8, 3072]]     | bf16  |       3.79       |       3.82        |       3.84       |        2.06        | 3.19e+05 | 4.92e+04 |      0.43%       |     1.27%     |
|  16   | 3072  | N/A |    [[16, 3072]]    | bf16  |       3.79       |       3.82        |       3.84       |        2.12        | 6.39e+05 | 9.83e+04 |      0.86%       |     2.54%     |
|  32   | 3072  | N/A |    [[32, 3072]]    | bf16  |       4.04       |       4.07        |       4.1        |        2.24        | 1.28e+06 | 1.97e+05 |      1.62%       |     4.77%     |
|  64   | 3072  | N/A |    [[64, 3072]]    | bf16  |       4.2        |       4.22        |       4.25       |        2.48        | 2.56e+06 | 3.93e+05 |      3.12%       |     9.18%     |
|  128  | 3072  | N/A |   [[128, 3072]]    | bf16  |       4.86       |       4.89        |       4.92       |        2.96        | 5.11e+06 | 7.86e+05 |      5.39%       |    15.87%     |
|  256  | 3072  | N/A |   [[256, 3072]]    | bf16  |       5.89       |       5.93        |       5.99       |        3.93        | 1.02e+07 | 1.57e+06 |       8.9%       |    26.19%     |
|  512  | 3072  | N/A |   [[512, 3072]]    | bf16  |       7.99       |       8.04        |       8.09       |        5.86        | 2.04e+07 | 3.15e+06 |      13.12%      |    38.62%     |
| 1024  | 3072  | N/A |   [[1024, 3072]]   | bf16  |      12.08       |       12.13       |      12.19       |        9.71        | 4.09e+07 | 6.29e+06 |      17.36%      |    51.09%     |
| 2048  | 3072  | N/A |   [[2048, 3072]]   | bf16  |      22.73       |       22.78       |      22.84       |       17.43        | 8.18e+07 | 1.26e+07 |      18.45%      |     54.3%     |
| 4096  | 3072  | N/A |   [[4096, 3072]]   | bf16  |      44.34       |       44.36       |      44.39       |       32.86        | 1.64e+08 | 2.52e+07 |      18.92%      |    55.67%     |
| 8192  | 3072  | N/A |   [[8192, 3072]]   | bf16  |      83.81       |       83.86       |      83.92       |       63.71        | 3.27e+08 | 5.03e+07 |      20.02%      |    58.91%     |
| 16384 | 3072  | N/A |  [[16384, 3072]]   | bf16  |      163.07      |      163.15       |      163.23      |       125.42       | 6.54e+08 | 1.01e+08 |      20.58%      |    60.55%     |
| 32768 | 3072  | N/A |  [[32768, 3072]]   | bf16  |      321.89      |      322.02       |      322.15      |       248.84       | 1.31e+09 | 2.01e+08 |      20.85%      |    61.35%     |
|   1   | 4096  | N/A |    [[1, 4096]]     | bf16  |       3.58       |       3.62        |       3.64       |        2.01        | 5.32e+04 | 8.19e+03 |      0.08%       |     0.22%     |
|   2   | 4096  | N/A |    [[2, 4096]]     | bf16  |       3.58       |       3.61        |       3.64       |        2.02        | 1.06e+05 | 1.64e+04 |      0.15%       |     0.45%     |
|   4   | 4096  | N/A |    [[4, 4096]]     | bf16  |       3.79       |       3.82        |       3.84       |        2.04        | 2.13e+05 | 3.28e+04 |      0.29%       |     0.85%     |
|   8   | 4096  | N/A |    [[8, 4096]]     | bf16  |       3.69       |       3.74        |       3.79       |        2.08        | 4.26e+05 | 6.55e+04 |      0.59%       |     1.74%     |
|  16   | 4096  | N/A |    [[16, 4096]]    | bf16  |       4.04       |       4.08        |       4.1        |        2.16        | 8.52e+05 | 1.31e+05 |      1.08%       |     3.18%     |
|  32   | 4096  | N/A |    [[32, 4096]]    | bf16  |       4.15       |       4.17        |       4.2        |        2.32        | 1.70e+06 | 2.62e+05 |      2.11%       |     6.2%      |
|  64   | 4096  | N/A |    [[64, 4096]]    | bf16  |       4.4        |       4.45        |       4.51       |        2.64        | 3.41e+06 | 5.24e+05 |      3.97%       |    11.69%     |
|  128  | 4096  | N/A |   [[128, 4096]]    | bf16  |       5.12       |       5.15        |       5.17       |        3.29        | 6.82e+06 | 1.05e+06 |      6.83%       |    20.09%     |
|  256  | 4096  | N/A |   [[256, 4096]]    | bf16  |       6.55       |       6.58        |       6.6        |        4.57        | 1.36e+07 | 2.10e+06 |      10.67%      |    31.41%     |
|  512  | 4096  | N/A |   [[512, 4096]]    | bf16  |       9.37       |        9.4        |       9.42       |        7.14        | 2.73e+07 | 4.19e+06 |      14.92%      |    43.91%     |
| 1024  | 4096  | N/A |   [[1024, 4096]]   | bf16  |       15.1       |       15.16       |      15.21       |       12.29        | 5.45e+07 | 8.39e+06 |      18.52%      |    54.49%     |
| 2048  | 4096  | N/A |   [[2048, 4096]]   | bf16  |      30.77       |       30.82       |      30.87       |       22.57        | 1.09e+08 | 1.68e+07 |      18.17%      |    53.48%     |
| 4096  | 4096  | N/A |   [[4096, 4096]]   | bf16  |      57.34       |       57.4        |      57.45       |       43.14        | 2.18e+08 | 3.36e+07 |      19.51%      |     57.4%     |
| 8192  | 4096  | N/A |   [[8192, 4096]]   | bf16  |      110.13      |      110.28       |      110.39      |       84.28        | 4.36e+08 | 6.71e+07 |      20.31%      |    59.77%     |
| 16384 | 4096  | N/A |  [[16384, 4096]]   | bf16  |      216.22      |      216.26       |      216.32      |       166.56       | 8.72e+08 | 1.34e+08 |      20.69%      |    60.89%     |
| 32768 | 4096  | N/A |  [[32768, 4096]]   | bf16  |      427.93      |      428.06       |      428.19      |       331.13       | 1.74e+09 | 2.68e+08 |      20.91%      |    61.53%     |
|   1   | 5120  | N/A |    [[1, 5120]]     | bf16  |       3.28       |       3.31        |       3.33       |        2.01        | 6.66e+04 | 1.02e+04 |       0.1%       |     0.31%     |
|   2   | 5120  | N/A |    [[2, 5120]]     | bf16  |       3.38       |        3.4        |       3.43       |        2.03        | 1.33e+05 | 2.05e+04 |       0.2%       |     0.59%     |
|   4   | 5120  | N/A |    [[4, 5120]]     | bf16  |       3.48       |        3.5        |       3.53       |        2.05        | 2.66e+05 | 4.10e+04 |      0.39%       |     1.15%     |
|   8   | 5120  | N/A |    [[8, 5120]]     | bf16  |       3.58       |       3.63        |       3.69       |        2.1         | 5.32e+05 | 8.19e+04 |      0.76%       |     2.24%     |
|  16   | 5120  | N/A |    [[16, 5120]]    | bf16  |       3.74       |       3.74        |       3.74       |        2.2         | 1.06e+06 | 1.64e+05 |      1.46%       |     4.3%      |
|  32   | 5120  | N/A |    [[32, 5120]]    | bf16  |       3.84       |       3.86        |       3.89       |        2.4         | 2.13e+06 | 3.28e+05 |      2.84%       |     8.37%     |
|  64   | 5120  | N/A |    [[64, 5120]]    | bf16  |       4.2        |       4.23        |       4.25       |        2.8         | 4.26e+06 | 6.55e+05 |       5.2%       |    15.31%     |
|  128  | 5120  | N/A |   [[128, 5120]]    | bf16  |       5.53       |       5.56        |       5.58       |        3.61        | 8.52e+06 | 1.31e+06 |       7.9%       |    23.25%     |
|  256  | 5120  | N/A |   [[256, 5120]]    | bf16  |       7.27       |       7.34        |       7.42       |        5.21        | 1.70e+07 | 2.62e+06 |      12.02%      |    35.37%     |
|  512  | 5120  | N/A |   [[512, 5120]]    | bf16  |      10.75       |       10.8        |      10.85       |        8.43        | 3.41e+07 | 5.24e+06 |      16.26%      |    47.84%     |
| 1024  | 5120  | N/A |   [[1024, 5120]]   | bf16  |      18.79       |       18.85       |      18.89       |       14.86        | 6.82e+07 | 1.05e+07 |      18.6%       |    54.74%     |
| 2048  | 5120  | N/A |   [[2048, 5120]]   | bf16  |      37.63       |       37.65       |      37.68       |       27.71        | 1.36e+08 | 2.10e+07 |      18.58%      |    54.66%     |
| 4096  | 5120  | N/A |   [[4096, 5120]]   | bf16  |      70.66       |       70.71       |      70.76       |       53.43        | 2.73e+08 | 4.19e+07 |      19.79%      |    58.22%     |
| 8192  | 5120  | N/A |   [[8192, 5120]]   | bf16  |      136.65      |      136.68       |      136.7       |       104.85       | 5.45e+08 | 8.39e+07 |      20.46%      |    60.21%     |
| 16384 | 5120  | N/A |  [[16384, 5120]]   | bf16  |      268.75      |      268.86       |      268.95      |       207.7        | 1.09e+09 | 1.68e+08 |      20.81%      |    61.23%     |
| 32768 | 5120  | N/A |  [[32768, 5120]]   | bf16  |      533.56      |      533.81       |      534.02      |       413.41       | 2.18e+09 | 3.36e+08 |      20.96%      |    61.68%     |
|   1   | 6144  | N/A |    [[1, 6144]]     | bf16  |       3.02       |       3.04        |       3.07       |        2.02        | 7.99e+04 | 1.23e+04 |      0.14%       |     0.4%      |
|   2   | 6144  | N/A |    [[2, 6144]]     | bf16  |       3.17       |        3.2        |       3.23       |        2.03        | 1.60e+05 | 2.46e+04 |      0.26%       |     0.76%     |
|   4   | 6144  | N/A |    [[4, 6144]]     | bf16  |       3.12       |       3.17        |       3.23       |        2.06        | 3.19e+05 | 4.92e+04 |      0.53%       |     1.55%     |
|   8   | 6144  | N/A |    [[8, 6144]]     | bf16  |       3.17       |        3.2        |       3.23       |        2.12        | 6.39e+05 | 9.83e+04 |      1.03%       |     3.04%     |
|  16   | 6144  | N/A |    [[16, 6144]]    | bf16  |       3.28       |       3.31        |       3.33       |        2.24        | 1.28e+06 | 1.97e+05 |       2.0%       |     5.88%     |
|  32   | 6144  | N/A |    [[32, 6144]]    | bf16  |       3.53       |       3.55        |       3.58       |        2.48        | 2.56e+06 | 3.93e+05 |      3.71%       |    10.93%     |
|  64   | 6144  | N/A |    [[64, 6144]]    | bf16  |       3.84       |       3.87        |       3.89       |        2.96        | 5.11e+06 | 7.86e+05 |      6.83%       |    20.09%     |
|  128  | 6144  | N/A |   [[128, 6144]]    | bf16  |       5.89       |       5.92        |       5.94       |        3.93        | 1.02e+07 | 1.57e+06 |       8.9%       |    26.19%     |
|  256  | 6144  | N/A |   [[256, 6144]]    | bf16  |       7.94       |       7.98        |       8.04       |        5.86        | 2.04e+07 | 3.15e+06 |      13.21%      |    38.86%     |
|  512  | 6144  | N/A |   [[512, 6144]]    | bf16  |      12.13       |       12.19       |      12.24       |        9.71        | 4.09e+07 | 6.29e+06 |      17.29%      |    50.87%     |
| 1024  | 6144  | N/A |   [[1024, 6144]]   | bf16  |      22.68       |       22.74       |      22.78       |       17.43        | 8.18e+07 | 1.26e+07 |      18.49%      |    54.42%     |
