Test Case: A100SXM_aten_baddbmm
|  B  |  M   |  K   |  N   |                        input_shape                        | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  1  | 1024 |  32  | 8192 |      [[1, 1024, 8192], [1, 1024, 32], [1, 32, 8192]]      | bf16  |      58.37       |       58.46       |      58.52       |       12.65        | 5.37e+08 | 8.68e+06 |      2.95%       |    14.59%     |
|  8  | 1024 |  32  | 8192 |      [[8, 1024, 8192], [8, 1024, 32], [8, 32, 8192]]      | bf16  |      461.16      |       461.3       |      461.41      |       87.17        | 4.29e+09 | 6.95e+07 |      2.99%       |    14.78%     |
| 128 | 1024 |  32  | 8192 |   [[128, 1024, 8192], [128, 1024, 32], [128, 32, 8192]]   | bf16  |     6767.87      |      6768.35      |      6768.9      |      1364.79       | 6.87e+10 | 1.11e+09 |      3.25%       |    16.11%     |
|  1  |  1   | 3072 | 8192 |       [[1, 1, 8192], [1, 1, 3072], [1, 3072, 8192]]       | bf16  |      50.69       |       50.76       |      50.84       |       32.87        | 5.03e+07 | 2.52e+07 |      0.32%       |    48.72%     |
|  8  |  1   | 3072 | 8192 |       [[8, 1, 8192], [8, 1, 3072], [8, 3072, 8192]]       | bf16  |      300.19      |      300.64       |      300.9       |       248.96       | 4.03e+08 | 2.01e+08 |      0.43%       |    65.81%     |
| 128 |  1   | 3072 | 8192 |    [[128, 1, 8192], [128, 1, 3072], [128, 3072, 8192]]    | bf16  |     4367.56      |      4368.19      |      4368.9      |      3953.28       | 6.44e+09 | 3.22e+09 |      0.47%       |    72.38%     |
|  1  |  64  | 3072 | 8192 |      [[1, 64, 8192], [1, 64, 3072], [1, 3072, 8192]]      | bf16  |      56.58       |       56.83       |      57.04       |       33.74        | 3.22e+09 | 2.59e+07 |      18.25%      |    44.88%     |
|  8  |  64  | 3072 | 8192 |      [[8, 64, 8192], [8, 64, 3072], [8, 3072, 8192]]      | bf16  |      334.64      |       335.0       |      335.31      |       255.92       | 2.58e+10 | 2.07e+08 |      24.68%      |     60.7%     |
| 128 |  64  | 3072 | 8192 |   [[128, 64, 8192], [128, 64, 3072], [128, 3072, 8192]]   | bf16  |     5181.13      |      5182.51      |     5182.87      |      4064.65       | 4.12e+11 | 3.31e+09 |      25.51%      |    62.73%     |
|  1  | 1024 | 3072 | 8192 |    [[1, 1024, 8192], [1, 1024, 3072], [1, 3072, 8192]]    | bf16  |      271.51      |      271.67       |      271.82      |       185.55       | 5.15e+10 | 3.67e+07 |      60.84%      |    13.26%     |
|  8  | 1024 | 3072 | 8192 |    [[8, 1024, 8192], [8, 1024, 3072], [8, 3072, 8192]]    | bf16  |     2058.65      |      2097.12      |     2251.62      |      1470.36       | 4.12e+11 | 2.94e+08 |      64.19%      |    13.99%     |
| 128 | 1024 | 3072 | 8192 | [[128, 1024, 8192], [128, 1024, 3072], [128, 3072, 8192]] | bf16  |     33198.8      |     33263.53      |     33308.93     |      23495.84      | 6.60e+12 | 4.70e+09 |      63.69%      |    13.88%     |
|  1  |  1   | 8192 | 8192 |       [[1, 1, 8192], [1, 1, 8192], [1, 8192, 8192]]       | bf16  |      114.74      |      115.13       |      115.56      |        84.3        | 1.34e+08 | 6.71e+07 |      0.37%       |    57.38%     |
|  8  |  1   | 8192 | 8192 |       [[8, 1, 8192], [8, 1, 8192], [8, 8192, 8192]]       | bf16  |      787.4       |      788.66       |      789.2       |       660.41       | 1.07e+09 | 5.37e+08 |      0.44%       |    66.89%     |
| 128 |  1   | 8192 | 8192 |    [[128, 1, 8192], [128, 1, 8192], [128, 8192, 8192]]    | bf16  |     12170.39     |     12173.31      |     12175.82     |      10536.61      | 1.72e+10 | 8.59e+09 |      0.45%       |    69.25%     |
|  1  |  64  | 8192 | 8192 |      [[1, 64, 8192], [1, 64, 8192], [1, 8192, 8192]]      | bf16  |      120.88      |      121.64       |      122.01      |       85.57        | 8.59e+09 | 6.82e+07 |      22.78%      |    55.31%     |
|  8  |  64  | 8192 | 8192 |      [[8, 64, 8192], [8, 64, 8192], [8, 8192, 8192]]      | bf16  |      802.41      |      804.89       |      808.19      |       670.54       | 6.87e+10 | 5.45e+08 |      27.45%      |    66.65%     |
| 128 |  64  | 8192 | 8192 |   [[128, 64, 8192], [128, 64, 8192], [128, 8192, 8192]]   | bf16  |     12879.31     |     12880.17      |     12881.56     |      10698.61      | 1.10e+12 | 8.72e+09 |      27.36%      |    66.44%     |
|  1  | 1024 | 8192 | 8192 |    [[1, 1024, 8192], [1, 1024, 8192], [1, 8192, 8192]]    | bf16  |      707.99      |       708.2       |      708.4       |       491.45       | 1.37e+11 | 8.39e+07 |      62.22%      |    11.62%     |
|  8  | 1024 | 8192 | 8192 |    [[8, 1024, 8192], [8, 1024, 8192], [8, 8192, 8192]]    | bf16  |     5602.92      |      5716.55      |     5869.72      |      3917.64       | 1.10e+12 | 6.71e+08 |      62.9%       |    11.75%     |
| 128 | 1024 | 8192 | 8192 | [[128, 1024, 8192], [128, 1024, 8192], [128, 8192, 8192]] | bf16  |    102662.15     |     103250.3      |    103881.32     |      62652.24      | 1.76e+13 | 1.07e+10 |      54.92%      |    10.26%     |
