Test Case: A100SXM_aten_add
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  512  | 4096  | N/A |        [[512, 4096], [4096]]         | bf16  |      11.93       |       11.93       |      11.93       |        9.71        | 2.10e+06 | 6.29e+06 |       0.9%       |    51.73%     |
| 1024  | 4096  | N/A |        [[1024, 4096], [4096]]        | bf16  |      21.35       |       21.4        |      21.45       |       17.43        | 4.19e+06 | 1.26e+07 |      1.01%       |    57.81%     |
| 2048  | 4096  | N/A |        [[2048, 4096], [4096]]        | bf16  |       46.8       |       46.86       |       46.9       |       32.86        | 8.39e+06 | 2.52e+07 |      0.92%       |    52.74%     |
| 4096  | 4096  | N/A |        [[4096, 4096], [4096]]        | bf16  |      88.99       |       89.06       |      89.14       |       63.71        | 1.68e+07 | 5.03e+07 |      0.97%       |    55.48%     |
| 8192  | 4096  | N/A |        [[8192, 4096], [4096]]        | bf16  |      172.49      |      172.59       |      172.65      |       125.42       | 3.36e+07 | 1.01e+08 |       1.0%       |    57.24%     |
| 16384 | 4096  | N/A |       [[16384, 4096], [4096]]        | bf16  |      339.81      |      339.89       |      339.97      |       248.84       | 6.71e+07 | 2.01e+08 |      1.01%       |    58.11%     |
| 32768 | 4096  | N/A |       [[32768, 4096], [4096]]        | bf16  |      674.1       |      674.17       |      674.25      |       495.69       | 1.34e+08 | 4.03e+08 |      1.02%       |    58.59%     |
|   1   | 5120  | N/A |         [[1, 5120], [5120]]          | bf16  |       2.76       |       2.79        |       2.82       |        2.02        | 5.12e+03 | 1.54e+04 |      0.01%       |     0.55%     |
|   2   | 5120  | N/A |         [[2, 5120], [5120]]          | bf16  |       4.1        |        4.1        |       4.1        |        2.04        | 1.02e+04 | 3.07e+04 |      0.01%       |     0.73%     |
|   4   | 5120  | N/A |         [[4, 5120], [5120]]          | bf16  |       4.15       |        4.2        |       4.25       |        2.08        | 2.05e+04 | 6.14e+04 |      0.03%       |     1.45%     |
|   8   | 5120  | N/A |         [[8, 5120], [5120]]          | bf16  |       4.3        |       4.32        |       4.35       |        2.15        | 4.10e+04 | 1.23e+05 |      0.05%       |     2.8%      |
|  16   | 5120  | N/A |         [[16, 5120], [5120]]         | bf16  |       4.35       |        4.4        |       4.45       |        2.3         | 8.19e+04 | 2.46e+05 |       0.1%       |     5.54%     |
|  32   | 5120  | N/A |         [[32, 5120], [5120]]         | bf16  |       4.61       |       4.64        |       4.66       |        2.6         | 1.64e+05 | 4.92e+05 |      0.18%       |    10.46%     |
|  64   | 5120  | N/A |         [[64, 5120], [5120]]         | bf16  |       4.97       |        5.0        |       5.02       |        3.21        | 3.28e+05 | 9.83e+05 |      0.34%       |     19.4%     |
|  128  | 5120  | N/A |        [[128, 5120], [5120]]         | bf16  |       6.55       |       6.61        |       6.66       |        4.41        | 6.55e+05 | 1.97e+06 |      0.51%       |    29.44%     |
|  256  | 5120  | N/A |        [[256, 5120], [5120]]         | bf16  |       8.96       |       8.98        |       9.01       |        6.82        | 1.31e+06 | 3.93e+06 |      0.75%       |    43.05%     |
|  512  | 5120  | N/A |        [[512, 5120], [5120]]         | bf16  |      13.93       |       13.95       |      13.98       |       11.64        | 2.62e+06 | 7.86e+06 |      0.97%       |    55.38%     |
| 1024  | 5120  | N/A |        [[1024, 5120], [5120]]        | bf16  |      26.93       |       26.98       |      27.03       |       21.28        | 5.24e+06 | 1.57e+07 |       1.0%       |    57.29%     |
| 2048  | 5120  | N/A |        [[2048, 5120], [5120]]        | bf16  |       57.7       |       57.72       |      57.75       |       40.57        | 1.05e+07 | 3.15e+07 |      0.93%       |    53.48%     |
| 4096  | 5120  | N/A |        [[4096, 5120], [5120]]        | bf16  |      109.88      |      109.96       |      110.03      |       79.14        | 2.10e+07 | 6.29e+07 |      0.98%       |    56.16%     |
| 8192  | 5120  | N/A |        [[8192, 5120], [5120]]        | bf16  |      214.32      |      214.38       |      214.43      |       156.28       | 4.19e+07 | 1.26e+08 |       1.0%       |    57.59%     |
