Test Case: A100SXM_apex_fused_layer_norm_cuda.forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
| 8192  |  128  |  [128]  | 0.0001  |  [[8192, 128]]   | bf16  |      22.58       |       22.63       |      22.68       |        4.57        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        1.91%        |        1.91%         |     9.11%     |
| 16384 |  128  |  [128]  | 0.0001  |  [[16384, 128]]  | bf16  |      41.06       |       41.11       |      41.16       |        7.14        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        2.1%         |         2.1%         |    10.02%     |
| 32768 |  128  |  [128]  | 0.0001  |  [[32768, 128]]  | bf16  |      78.95       |       79.02       |       79.1       |       12.29        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        2.18%        |        2.18%         |    10.42%     |
| 65536 |  128  |  [128]  | 0.0001  |  [[65536, 128]]  | bf16  |      166.35      |      166.38       |      166.4       |       22.57        | 6.71e+07 | 8.39e+06  | 1.68e+07 |        2.07%        |        2.07%         |     9.89%     |
|   1   |  192  |  [192]  | 0.0001  |    [[1, 192]]    | bf16  |       4.15       |       4.18        |       4.2        |        2.0         | 1.54e+03 | 1.92e+02  | 3.84e+02 |        0.0%         |         0.0%         |     0.01%     |
|   2   |  192  |  [192]  | 0.0001  |    [[2, 192]]    | bf16  |       4.25       |       4.28        |       4.3        |        2.0         | 3.07e+03 | 3.84e+02  | 7.68e+02 |        0.0%         |         0.0%         |     0.02%     |
|   4   |  192  |  [192]  | 0.0001  |    [[4, 192]]    | bf16  |       4.3        |       4.32        |       4.35       |        2.0         | 6.14e+03 | 7.68e+02  | 1.54e+03 |        0.01%        |        0.01%         |     0.04%     |
|   8   |  192  |  [192]  | 0.0001  |    [[8, 192]]    | bf16  |       4.3        |        4.3        |       4.3        |        2.0         | 1.23e+04 | 1.54e+03  | 3.07e+03 |        0.01%        |        0.01%         |     0.07%     |
|  16   |  192  |  [192]  | 0.0001  |   [[16, 192]]    | bf16  |       4.3        |       4.34        |       4.4        |        2.01        | 2.46e+04 | 3.07e+03  | 6.14e+03 |        0.03%        |        0.03%         |     0.14%     |
|  32   |  192  |  [192]  | 0.0001  |   [[32, 192]]    | bf16  |       4.35       |       4.37        |       4.4        |        2.02        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.06%        |        0.06%         |     0.28%     |
