Test Case: H100PCIE_aten_bmm
|  B  |  M  |  K   |  N   |              input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 16  |  2  |  64  |  32  |      [[16, 2, 64], [16, 64, 32]]      | bf16  |      25.59       |       25.83       |       26.2       |        2.04        | 1.31e+05 | 3.58e+04 |       0.0%       |     0.14%     |
| 32  |  2  |  64  |  32  |      [[32, 2, 64], [32, 64, 32]]      | bf16  |      25.27       |       25.47       |       25.7       |        2.09        | 2.62e+05 | 7.17e+04 |       0.0%       |     0.28%     |
|  1  |  4  |  64  |  32  |       [[1, 4, 64], [1, 64, 32]]       | bf16  |       25.4       |       25.55       |       25.9       |        2.0         | 1.64e+04 | 2.43e+03 |       0.0%       |     0.01%     |
|  2  |  4  |  64  |  32  |       [[2, 4, 64], [2, 64, 32]]       | bf16  |      25.27       |       25.41       |      25.55       |        2.01        | 3.28e+04 | 4.86e+03 |       0.0%       |     0.02%     |
|  4  |  4  |  64  |  32  |       [[4, 4, 64], [4, 64, 32]]       | bf16  |      25.48       |       25.66       |       25.8       |        2.01        | 6.55e+04 | 9.73e+03 |       0.0%       |     0.04%     |
|  8  |  4  |  64  |  32  |       [[8, 4, 64], [8, 64, 32]]       | bf16  |      25.61       |       25.87       |      26.11       |        2.02        | 1.31e+05 | 1.95e+04 |       0.0%       |     0.08%     |
| 16  |  4  |  64  |  32  |      [[16, 4, 64], [16, 64, 32]]      | bf16  |      25.66       |       25.83       |      26.02       |        2.05        | 2.62e+05 | 3.89e+04 |       0.0%       |     0.15%     |
| 32  |  4  |  64  |  32  |      [[32, 4, 64], [32, 64, 32]]      | bf16  |      25.63       |       25.82       |      25.94       |        2.1         | 5.24e+05 | 7.78e+04 |       0.0%       |     0.3%      |
|  1  |  8  |  64  |  32  |       [[1, 8, 64], [1, 64, 32]]       | bf16  |      25.28       |       25.43       |      25.54       |        2.0         | 3.28e+04 | 2.82e+03 |       0.0%       |     0.01%     |
|  2  |  8  |  64  |  32  |       [[2, 8, 64], [2, 64, 32]]       | bf16  |      25.35       |       25.52       |      25.69       |        2.01        | 6.55e+04 | 5.63e+03 |       0.0%       |     0.02%     |
|  4  |  8  |  64  |  32  |       [[4, 8, 64], [4, 64, 32]]       | bf16  |       25.4       |       25.74       |      26.06       |        2.01        | 1.31e+05 | 1.13e+04 |       0.0%       |     0.04%     |
|  8  |  8  |  64  |  32  |       [[8, 8, 64], [8, 64, 32]]       | bf16  |      25.32       |       25.52       |      25.77       |        2.03        | 2.62e+05 | 2.25e+04 |       0.0%       |     0.09%     |
| 16  |  8  |  64  |  32  |      [[16, 8, 64], [16, 64, 32]]      | bf16  |      25.48       |       25.64       |      25.83       |        2.06        | 5.24e+05 | 4.51e+04 |       0.0%       |     0.18%     |
| 32  |  8  |  64  |  32  |      [[32, 8, 64], [32, 64, 32]]      | bf16  |      25.44       |       25.62       |      25.78       |        2.11        | 1.05e+06 | 9.01e+04 |      0.01%       |     0.35%     |
|  1  | 32  |  64  |  32  |      [[1, 32, 64], [1, 64, 32]]       | bf16  |      25.39       |       25.57       |      25.83       |        2.01        | 1.31e+05 | 5.12e+03 |       0.0%       |     0.02%     |
|  2  | 32  |  64  |  32  |      [[2, 32, 64], [2, 64, 32]]       | bf16  |      25.34       |       25.61       |      25.77       |        2.01        | 2.62e+05 | 1.02e+04 |       0.0%       |     0.04%     |
|  4  | 32  |  64  |  32  |      [[4, 32, 64], [4, 64, 32]]       | bf16  |      25.71       |       25.84       |      26.01       |        2.03        | 5.24e+05 | 2.05e+04 |       0.0%       |     0.08%     |
