Test Case: H100PCIE_aten_mm
| B |  M   |  K   |  N   |         input_shape          | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 1 |  2   | 6144 |  32  |   [[2, 6144], [6144, 32]]    | bf16  |       29.0       |       29.25       |      29.61       |        2.26        | 7.86e+05 | 2.09e+05 |       0.0%       |     0.72%     |
| 1 |  4   | 6144 |  32  |   [[4, 6144], [6144, 32]]    | bf16  |      29.21       |       29.41       |      29.63       |        2.28        | 1.57e+06 | 2.21e+05 |      0.01%       |     0.76%     |
| 1 |  8   | 6144 |  32  |   [[8, 6144], [6144, 32]]    | bf16  |      29.26       |       29.48       |      29.74       |        2.31        | 3.15e+06 | 2.46e+05 |      0.01%       |     0.84%     |
| 1 |  32  | 6144 |  32  |   [[32, 6144], [6144, 32]]   | bf16  |      29.23       |       29.37       |      29.51       |        2.49        | 1.26e+07 | 3.94e+05 |      0.06%       |     1.35%     |
| 1 |  64  | 6144 |  32  |   [[64, 6144], [6144, 32]]   | bf16  |      29.31       |       29.51       |      29.69       |        2.74        | 2.52e+07 | 5.92e+05 |      0.11%       |     2.02%     |
| 1 | 128  | 6144 |  32  |  [[128, 6144], [6144, 32]]   | bf16  |      29.52       |       29.69       |      29.84       |        3.23        | 5.03e+07 | 9.87e+05 |      0.23%       |     3.34%     |
| 1 | 256  | 6144 |  32  |  [[256, 6144], [6144, 32]]   | bf16  |      29.63       |       29.8        |      29.96       |        4.22        | 1.01e+08 | 1.78e+06 |      0.45%       |     6.0%      |
| 1 | 512  | 6144 |  32  |  [[512, 6144], [6144, 32]]   | bf16  |      29.54       |       29.7        |      29.89       |        6.2         | 2.01e+08 | 3.36e+06 |       0.9%       |    11.37%     |
| 1 | 1024 | 6144 |  32  |  [[1024, 6144], [6144, 32]]  | bf16  |      29.48       |       29.74       |      30.24       |       10.15        | 4.03e+08 | 6.52e+06 |      1.81%       |    22.12%     |
| 1 | 2048 | 6144 |  32  |  [[2048, 6144], [6144, 32]]  | bf16  |      29.42       |       29.64       |      29.93       |       18.06        | 8.05e+08 | 1.28e+07 |      3.62%       |    43.66%     |
| 1 |  1   | 7168 |  32  |   [[1, 7168], [7168, 32]]    | bf16  |      29.22       |       29.38       |      29.56       |        2.3         | 4.59e+05 | 2.37e+05 |       0.0%       |     0.81%     |
| 1 |  2   | 7168 |  32  |   [[2, 7168], [7168, 32]]    | bf16  |      29.18       |       29.3        |      29.56       |        2.3         | 9.18e+05 | 2.44e+05 |       0.0%       |     0.84%     |
| 1 |  4   | 7168 |  32  |   [[4, 7168], [7168, 32]]    | bf16  |      29.07       |       29.22       |      29.31       |        2.32        | 1.84e+06 | 2.58e+05 |      0.01%       |     0.89%     |
| 1 |  8   | 7168 |  32  |   [[8, 7168], [7168, 32]]    | bf16  |      29.18       |       29.37       |      29.54       |        2.36        | 3.67e+06 | 2.87e+05 |      0.02%       |     0.98%     |
| 1 |  32  | 7168 |  32  |   [[32, 7168], [7168, 32]]   | bf16  |      29.21       |       29.38       |      29.51       |        2.57        | 1.47e+07 | 4.60e+05 |      0.07%       |     1.57%     |
| 1 |  64  | 7168 |  32  |   [[64, 7168], [7168, 32]]   | bf16  |      29.23       |       29.53       |       29.8       |        2.86        | 2.94e+07 | 6.90e+05 |      0.13%       |     2.36%     |
