Test Case: H100PCIE_aten_add
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 2048  | 2048  | N/A |        [[2048, 2048], [2048]]        | bf16  |      13.88       |       13.9        |      13.92       |       17.73        | 4.19e+06 | 1.26e+07 |      0.59%       |    90.65%     |
| 4096  | 2048  | N/A |        [[4096, 2048], [2048]]        | bf16  |      26.33       |       26.38       |      26.43       |       33.46        | 8.39e+06 | 2.52e+07 |      0.62%       |    95.58%     |
| 8192  | 2048  | N/A |        [[8192, 2048], [2048]]        | bf16  |      57.37       |       57.41       |      57.45       |       64.91        | 1.68e+07 | 5.03e+07 |      0.57%       |    87.73%     |
| 16384 | 2048  | N/A |       [[16384, 2048], [2048]]        | bf16  |      110.97      |      111.03       |      111.08      |       127.83       | 3.36e+07 | 1.01e+08 |      0.59%       |    90.71%     |
| 32768 | 2048  | N/A |       [[32768, 2048], [2048]]        | bf16  |      217.12      |      217.19       |      217.24      |       253.66       | 6.71e+07 | 2.01e+08 |      0.61%       |    92.73%     |
|   1   | 3072  | N/A |         [[1, 3072], [3072]]          | bf16  |       2.32       |       2.34        |       2.37       |        2.01        | 3.07e+03 | 9.22e+03 |       0.0%       |     0.4%      |
|   2   | 3072  | N/A |         [[2, 3072], [3072]]          | bf16  |       3.32       |       3.34        |       3.36       |        2.02        | 6.14e+03 | 1.84e+04 |       0.0%       |     0.56%     |
|   4   | 3072  | N/A |         [[4, 3072], [3072]]          | bf16  |       3.53       |       3.56        |       3.6        |        2.05        | 1.23e+04 | 3.69e+04 |      0.01%       |     1.04%     |
|   8   | 3072  | N/A |         [[8, 3072], [3072]]          | bf16  |       3.55       |       3.57        |       3.6        |        2.09        | 2.46e+04 | 7.37e+04 |      0.01%       |     2.08%     |
|  16   | 3072  | N/A |         [[16, 3072], [3072]]         | bf16  |       3.58       |        3.6        |       3.62       |        2.18        | 4.92e+04 | 1.47e+05 |      0.03%       |     4.12%     |
|  32   | 3072  | N/A |         [[32, 3072], [3072]]         | bf16  |       3.68       |        3.7        |       3.71       |        2.37        | 9.83e+04 | 2.95e+05 |      0.05%       |     8.01%     |
|  64   | 3072  | N/A |         [[64, 3072], [3072]]         | bf16  |       3.76       |        3.8        |       3.85       |        2.74        | 1.97e+05 | 5.90e+05 |       0.1%       |    15.69%     |
|  128  | 3072  | N/A |        [[128, 3072], [3072]]         | bf16  |       4.04       |       4.06        |       4.08       |        3.47        | 3.93e+05 | 1.18e+06 |      0.19%       |     29.2%     |
|  256  | 3072  | N/A |        [[256, 3072], [3072]]         | bf16  |       5.1        |       5.11        |       5.12       |        4.95        | 7.86e+05 | 2.36e+06 |       0.3%       |    46.26%     |
|  512  | 3072  | N/A |        [[512, 3072], [3072]]         | bf16  |       7.13       |       7.18        |       7.25       |        7.9         | 1.57e+06 | 4.72e+06 |      0.43%       |    66.18%     |
| 1024  | 3072  | N/A |        [[1024, 3072], [3072]]        | bf16  |       11.2       |       11.22       |      11.24       |        13.8        | 3.15e+06 | 9.44e+06 |      0.55%       |    84.26%     |
| 2048  | 3072  | N/A |        [[2048, 3072], [3072]]        | bf16  |      20.57       |       20.61       |      20.64       |       25.59        | 6.29e+06 | 1.89e+07 |       0.6%       |    91.76%     |
| 4096  | 3072  | N/A |        [[4096, 3072], [3072]]        | bf16  |      44.54       |       44.58       |      44.62       |       49.19        | 1.26e+07 | 3.77e+07 |      0.55%       |    84.75%     |
| 8192  | 3072  | N/A |        [[8192, 3072], [3072]]        | bf16  |      84.52       |       84.56       |       84.6       |       96.37        | 2.52e+07 | 7.55e+07 |      0.58%       |    89.32%     |
| 16384 | 3072  | N/A |       [[16384, 3072], [3072]]        | bf16  |      164.56      |       164.6       |      164.63      |       190.74       | 5.03e+07 | 1.51e+08 |       0.6%       |    91.76%     |
| 32768 | 3072  | N/A |       [[32768, 3072], [3072]]        | bf16  |      323.58      |      323.64       |      323.7       |       379.49       | 1.01e+08 | 3.02e+08 |      0.61%       |    93.33%     |
|   1   | 4096  | N/A |         [[1, 4096], [4096]]          | bf16  |       2.33       |       2.34        |       2.36       |        2.02        | 4.10e+03 | 1.23e+04 |       0.0%       |     0.53%     |
|   2   | 4096  | N/A |         [[2, 4096], [4096]]          | bf16  |       3.52       |       3.54        |       3.56       |        2.03        | 8.19e+03 | 2.46e+04 |       0.0%       |     0.7%      |
