test case : H20SXM_flash_attn::flash_attn.flash_attn_qkvpacked_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |   M    |        input_shape         | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D |      flops_2D      | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |    [[1, 256, 3, 1, 64]]    |  bf16  |      12.11       |       12.16       |      12.20       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      2.66e-08      |      1.61e-07      |      5.47e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |    [[2, 256, 3, 1, 64]]    |  bf16  |      12.17       |       12.20       |      12.25       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      5.30e-08      |      3.20e-07      |      1.09e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |    [[4, 256, 3, 1, 64]]    |  bf16  |      12.32       |       12.37       |      12.42       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.05e-07      |      6.32e-07      |      2.15e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |    [[8, 256, 3, 1, 64]]    |  bf16  |      12.24       |       12.28       |      12.34       |       2.00        |   [56]   |    [1024, 1024]    |    [8]    |      2.11e-07      |      1.27e-06      |      4.33e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |   [[16, 256, 3, 1, 64]]    |  bf16  |      12.43       |       12.45       |      12.48       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      4.15e-07      |      2.50e-06      |      8.53e-07       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |   [[32, 256, 3, 1, 64]]    |  bf16  |      12.68       |       12.70       |      12.75       |       2.01        |  [224]   |    [4096, 4096]    |   [32]    |      8.13e-07      |      4.91e-06      |      1.67e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.07%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |    [[1, 512, 3, 1, 64]]    |  bf16  |      11.48       |       11.51       |      11.55       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      2.81e-08      |      1.69e-07      |      5.77e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |    [[2, 512, 3, 1, 64]]    |  bf16  |      11.72       |       11.74       |      11.77       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      5.50e-08      |      3.32e-07      |      1.13e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |    [[4, 512, 3, 1, 64]]    |  bf16  |      12.20       |       12.21       |      12.26       |       2.00        |   [28]   |     [512, 512]     |    [4]    |      1.06e-07      |      6.38e-07      |      2.17e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |    [[8, 512, 3, 1, 64]]    |  bf16  |      17.25       |       17.29       |      17.33       |       2.00        |   [56]   |    [1024, 1024]    |    [8]    |      1.49e-07      |      9.02e-07      |      3.07e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |   [[16, 512, 3, 1, 64]]    |  bf16  |      21.12       |       21.17       |      21.22       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      2.44e-07      |      1.47e-06      |      5.02e-07       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
