Test Case: H20SXM_apex_fused_layer_norm_cuda.forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
|  256  | 6144  | [6144]  | 0.0001  |  [[256, 6144]]   | bf16  |       8.34       |       8.36        |       8.38       |        3.97        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        3.43%        |        3.43%         |    18.86%     |
|  512  | 6144  | [6144]  | 0.0001  |  [[512, 6144]]   | bf16  |      15.29       |       15.35       |       15.4       |        5.93        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        3.74%        |        3.74%         |    20.57%     |
| 1024  | 6144  | [6144]  | 0.0001  |  [[1024, 6144]]  | bf16  |      21.57       |       21.68       |      21.78       |        9.86        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        5.3%         |         5.3%         |    29.17%     |
| 2048  | 6144  | [6144]  | 0.0001  |  [[2048, 6144]]  | bf16  |      43.97       |       44.11       |      44.31       |       17.73        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        5.2%         |         5.2%         |    28.62%     |
| 4096  | 6144  | [6144]  | 0.0001  |  [[4096, 6144]]  | bf16  |      82.31       |       82.5        |      82.61       |       33.46        | 2.01e+08 | 2.52e+07  | 5.03e+07 |        5.56%        |        5.56%         |    30.57%     |
| 8192  | 6144  | [6144]  | 0.0001  |  [[8192, 6144]]  | bf16  |      153.57      |      153.77       |      153.89      |       64.91        | 4.03e+08 | 5.03e+07  | 1.01e+08 |        5.96%        |        5.96%         |    32.77%     |
| 16384 | 6144  | [6144]  | 0.0001  | [[16384, 6144]]  | bf16  |      300.29      |      300.44       |      300.5       |       127.83       | 8.05e+08 | 1.01e+08  | 2.01e+08 |        6.09%        |        6.09%         |    33.52%     |
| 32768 | 6144  | [6144]  | 0.0001  | [[32768, 6144]]  | bf16  |      587.08      |      587.41       |      587.77      |       253.66       | 1.61e+09 | 2.01e+08  | 4.03e+08 |        6.24%        |        6.24%         |    34.29%     |
| 65536 | 6144  | [6144]  | 0.0001  | [[65536, 6144]]  | bf16  |     1167.71      |      1167.98      |     1168.31      |       505.32       | 3.22e+09 | 4.03e+08  | 8.05e+08 |        6.27%        |        6.27%         |    34.48%     |
|   1   | 8192  | [8192]  | 0.0001  |   [[1, 8192]]    | bf16  |       8.42       |       8.45        |       8.47       |        2.01        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.02%        |        0.02%         |     0.1%      |
|   2   | 8192  | [8192]  | 0.0001  |   [[2, 8192]]    | bf16  |       8.43       |       8.46        |       8.49       |        2.02        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.04%        |        0.04%         |     0.19%     |
|   4   | 8192  | [8192]  | 0.0001  |   [[4, 8192]]    | bf16  |       8.41       |       8.46        |       8.5        |        2.04        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.07%        |        0.07%         |     0.39%     |
|   8   | 8192  | [8192]  | 0.0001  |   [[8, 8192]]    | bf16  |       8.53       |       8.55        |       8.57       |        2.08        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.14%        |        0.14%         |     0.77%     |
|  16   | 8192  | [8192]  | 0.0001  |   [[16, 8192]]   | bf16  |       8.49       |       8.51        |       8.54       |        2.16        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.28%        |        0.28%         |     1.54%     |
|  32   | 8192  | [8192]  | 0.0001  |   [[32, 8192]]   | bf16  |       8.56       |       8.61        |       8.68       |        2.33        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.56%        |        0.56%         |     3.06%     |
|  64   | 8192  | [8192]  | 0.0001  |   [[64, 8192]]   | bf16  |       8.59       |       8.61        |       8.63       |        2.66        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        1.11%        |        1.11%         |     6.1%      |
|  128  | 8192  | [8192]  | 0.0001  |  [[128, 8192]]   | bf16  |       8.88       |       8.92        |       8.96       |        3.31        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        2.15%        |        2.15%         |    11.81%     |
|  256  | 8192  | [8192]  | 0.0001  |  [[256, 8192]]   | bf16  |      11.78       |       11.81       |      11.86       |        4.62        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        3.24%        |        3.24%         |     17.8%     |
|  512  | 8192  | [8192]  | 0.0001  |  [[512, 8192]]   | bf16  |      20.57       |       20.65       |       20.7       |        7.24        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        3.71%        |        3.71%         |    20.39%     |
| 1024  | 8192  | [8192]  | 0.0001  |  [[1024, 8192]]  | bf16  |      31.52       |       31.68       |      31.79       |       12.49        | 6.71e+07 | 8.39e+06  | 1.68e+07 |        4.84%        |        4.84%         |    26.61%     |
| 2048  | 8192  | [8192]  | 0.0001  |  [[2048, 8192]]  | bf16  |      62.56       |       62.72       |      62.83       |       22.97        | 1.34e+08 | 1.68e+07  | 3.36e+07 |        4.88%        |        4.88%         |    26.82%     |
| 4096  | 8192  | [8192]  | 0.0001  |  [[4096, 8192]]  | bf16  |      113.46      |      113.59       |      113.68      |       43.94        | 2.68e+08 | 3.36e+07  | 6.71e+07 |        5.38%        |        5.38%         |    29.57%     |
| 8192  | 8192  | [8192]  | 0.0001  |  [[8192, 8192]]  | bf16  |      214.46      |      214.59       |      214.65      |       85.89        | 5.37e+08 | 6.71e+07  | 1.34e+08 |        5.69%        |        5.69%         |    31.29%     |
| 16384 | 8192  | [8192]  | 0.0001  | [[16384, 8192]]  | bf16  |      417.16      |      417.28       |      417.37      |       169.77       | 1.07e+09 | 1.34e+08  | 2.68e+08 |        5.85%        |        5.85%         |    32.17%     |
| 32768 | 8192  | [8192]  | 0.0001  | [[32768, 8192]]  | bf16  |      823.1       |       823.3       |      823.52      |       337.54       | 2.15e+09 | 2.68e+08  | 5.37e+08 |        5.93%        |        5.93%         |    32.61%     |
| 65536 | 8192  | [8192]  | 0.0001  | [[65536, 8192]]  | bf16  |     1631.46      |      1632.2       |     1633.14      |       673.09       | 4.29e+09 | 5.37e+08  | 1.07e+09 |        5.98%        |        5.98%         |    32.91%     |
