test case : H20SXM_flash_attn::flash_attn.flash_attn_qkvpacked_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |   M    |         input_shape         | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D |      flops_2D      | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  8192  |   [[1, 8192, 3, 32, 128]]   |  bf16  |     6596.53      |      6611.59      |     6617.42      |       2.03        |  [7168]  |  [262144, 262144]  |  [1024]   |      5.00e-08      |      6.04e-07      |      1.03e-07       |  4.10e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  8192  |   [[2, 8192, 3, 32, 128]]   |  bf16  |     12773.61     |     12780.17      |     12783.98     |       2.05        | [14336]  |  [524288, 524288]  |  [2048]   |      5.17e-08      |      6.24e-07      |      1.06e-07       |  7.37e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  8192  |   [[4, 8192, 3, 32, 128]]   |  bf16  |     25101.62     |     25113.26      |     25119.14     |       2.09        | [28672]  | [1048576, 1048576] |  [4096]   |      5.26e-08      |      6.35e-07      |      1.08e-07       |  1.39e+05  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  8192  |   [[8, 8192, 3, 32, 128]]   |  bf16  |     49767.29     |     49772.84      |     49779.88     |       2.17        | [57344]  | [2097152, 2097152] |  [8192]   |      5.30e-08      |      6.41e-07      |      1.09e-07       |  2.70e+05  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 16384  |  [[1, 16384, 3, 32, 128]]   |  bf16  |     25318.57     |     25337.11      |     25351.47     |       2.03        |  [7168]  |  [262144, 262144]  |  [1024]   |      1.30e-08      |      1.57e-07      |      2.68e-08       |  4.10e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 16384  |  [[2, 16384, 3, 32, 128]]   |  bf16  |     49752.14     |     49766.11      |     49779.27     |       2.05        | [14336]  |  [524288, 524288]  |  [2048]   |      1.33e-08      |      1.60e-07      |      2.73e-08       |  7.37e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 16384  |  [[4, 16384, 3, 32, 128]]   |  bf16  |     98605.30     |     98629.34      |     98655.37     |       2.09        | [28672]  | [1048576, 1048576] |  [4096]   |      1.34e-08      |      1.62e-07      |      2.75e-08       |  1.39e+05  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 16384  |  [[8, 16384, 3, 32, 128]]   |  bf16  |    196306.05     |     196327.20     |    196348.17     |       2.17        | [57344]  | [2097152, 2097152] |  [8192]   |      1.34e-08      |      1.62e-07      |      2.77e-08       |  2.70e+05  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 32768  |  [[1, 32768, 3, 32, 128]]   |  bf16  |     98945.69     |     98966.00      |     98980.69     |       2.03        |  [7168]  |  [262144, 262144]  |  [1024]   |      3.33e-09      |      4.03e-08      |      6.86e-09       |  4.10e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 32768  |  [[2, 32768, 3, 32, 128]]   |  bf16  |    196164.69     |     196195.19     |    196224.64     |       2.05        | [14336]  |  [524288, 524288]  |  [2048]   |      3.36e-09      |      4.06e-08      |      6.92e-09       |  7.37e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
