Test Case: H20SXM_aten_add
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   8   | 4096  | N/A |         [[8, 4096], [4096]]          | bf16  |       2.75       |       2.78        |       2.82       |        2.06        | 3.28e+04 | 9.83e+04 |      0.03%       |     1.79%     |
|  16   | 4096  | N/A |         [[16, 4096], [4096]]         | bf16  |       2.8        |       2.83        |       2.86       |        2.12        | 6.55e+04 | 1.97e+05 |      0.05%       |     3.51%     |
|  32   | 4096  | N/A |         [[32, 4096], [4096]]         | bf16  |       2.91       |       2.94        |       2.97       |        2.25        | 1.31e+05 | 3.93e+05 |       0.1%       |     6.76%     |
|  64   | 4096  | N/A |         [[64, 4096], [4096]]         | bf16  |       3.12       |       3.16        |       3.22       |        2.49        | 2.62e+05 | 7.86e+05 |      0.19%       |     12.6%     |
|  128  | 4096  | N/A |        [[128, 4096], [4096]]         | bf16  |       4.12       |       4.15        |       4.18       |        2.98        | 5.24e+05 | 1.57e+06 |      0.29%       |    19.09%     |
|  256  | 4096  | N/A |        [[256, 4096], [4096]]         | bf16  |       5.79       |       5.82        |       5.84       |        3.97        | 1.05e+06 | 3.15e+06 |      0.41%       |    27.17%     |
|  512  | 4096  | N/A |        [[512, 4096], [4096]]         | bf16  |       9.25       |       9.29        |       9.34       |        5.93        | 2.10e+06 | 6.29e+06 |      0.52%       |    34.01%     |
| 1024  | 4096  | N/A |        [[1024, 4096], [4096]]        | bf16  |      16.27       |       16.33       |       16.4       |        9.86        | 4.19e+06 | 1.26e+07 |      0.59%       |    38.67%     |
| 2048  | 4096  | N/A |        [[2048, 4096], [4096]]        | bf16  |      31.45       |       31.48       |      31.52       |       17.73        | 8.39e+06 | 2.52e+07 |      0.61%       |    40.01%     |
| 4096  | 4096  | N/A |        [[4096, 4096], [4096]]        | bf16  |      70.68       |       70.72       |      70.77       |       33.46        | 1.68e+07 | 5.03e+07 |      0.54%       |    35.61%     |
| 8192  | 4096  | N/A |        [[8192, 4096], [4096]]        | bf16  |      137.97      |      138.04       |      138.12      |       64.91        | 3.36e+07 | 1.01e+08 |      0.55%       |    36.48%     |
| 16384 | 4096  | N/A |       [[16384, 4096], [4096]]        | bf16  |      272.4       |      272.49       |      272.58      |       127.83       | 6.71e+07 | 2.01e+08 |      0.56%       |    36.95%     |
| 32768 | 4096  | N/A |       [[32768, 4096], [4096]]        | bf16  |      541.68      |      541.74       |      541.79      |       253.66       | 1.34e+08 | 4.03e+08 |      0.56%       |    37.17%     |
|   1   | 5120  | N/A |         [[1, 5120], [5120]]          | bf16  |       1.79       |       1.81        |       1.83       |        2.01        | 5.12e+03 | 1.54e+04 |      0.01%       |     0.43%     |
|   2   | 5120  | N/A |         [[2, 5120], [5120]]          | bf16  |       2.73       |       2.75        |       2.77       |        2.02        | 1.02e+04 | 3.07e+04 |      0.01%       |     0.56%     |
|   4   | 5120  | N/A |         [[4, 5120], [5120]]          | bf16  |       2.72       |       2.76        |       2.8        |        2.04        | 2.05e+04 | 6.14e+04 |      0.02%       |     1.13%     |
|   8   | 5120  | N/A |         [[8, 5120], [5120]]          | bf16  |       2.75       |       2.78        |       2.82       |        2.08        | 4.10e+04 | 1.23e+05 |      0.03%       |     2.23%     |
|  16   | 5120  | N/A |         [[16, 5120], [5120]]         | bf16  |       2.82       |       2.85        |       2.87       |        2.15        | 8.19e+04 | 2.46e+05 |      0.07%       |     4.36%     |
|  32   | 5120  | N/A |         [[32, 5120], [5120]]         | bf16  |       2.92       |       2.94        |       2.96       |        2.31        | 1.64e+05 | 4.92e+05 |      0.13%       |     8.42%     |
|  64   | 5120  | N/A |         [[64, 5120], [5120]]         | bf16  |       3.27       |        3.3        |       3.33       |        2.61        | 3.28e+05 | 9.83e+05 |      0.23%       |    15.03%     |
|  128  | 5120  | N/A |        [[128, 5120], [5120]]         | bf16  |       4.48       |       4.52        |       4.57       |        3.23        | 6.55e+05 | 1.97e+06 |      0.33%       |    21.94%     |
|  256  | 5120  | N/A |        [[256, 5120], [5120]]         | bf16  |       6.67       |       6.69        |       6.73       |        4.46        | 1.31e+06 | 3.93e+06 |      0.45%       |    29.48%     |
|  512  | 5120  | N/A |        [[512, 5120], [5120]]         | bf16  |       11.0       |       11.02       |      11.04       |        6.92        | 2.62e+06 | 7.86e+06 |      0.54%       |    35.75%     |
| 1024  | 5120  | N/A |        [[1024, 5120], [5120]]        | bf16  |      19.78       |       19.8        |      19.82       |       11.83        | 5.24e+06 | 1.57e+07 |       0.6%       |    39.76%     |
| 2048  | 5120  | N/A |        [[2048, 5120], [5120]]        | bf16  |       39.4       |       39.46       |      39.52       |       21.66        | 1.05e+07 | 3.15e+07 |       0.6%       |    39.92%     |
| 4096  | 5120  | N/A |        [[4096, 5120], [5120]]        | bf16  |      87.46       |       87.51       |      87.57       |       41.32        | 2.10e+07 | 6.29e+07 |      0.54%       |    35.97%     |
| 8192  | 5120  | N/A |        [[8192, 5120], [5120]]        | bf16  |      171.63      |      171.67       |      171.7       |       80.64        | 4.19e+07 | 1.26e+08 |      0.56%       |    36.66%     |
| 16384 | 5120  | N/A |       [[16384, 5120], [5120]]        | bf16  |      339.7       |      339.75       |      339.81      |       159.29       | 8.39e+07 | 2.52e+08 |      0.56%       |    37.04%     |
| 32768 | 5120  | N/A |       [[32768, 5120], [5120]]        | bf16  |      676.03      |       676.4       |      676.7       |       316.57       | 1.68e+08 | 5.03e+08 |      0.56%       |    37.23%     |
|   1   | 6144  | N/A |         [[1, 6144], [6144]]          | bf16  |       1.8        |       1.84        |       1.89       |        2.01        | 6.14e+03 | 1.84e+04 |      0.01%       |     0.51%     |
|   2   | 6144  | N/A |         [[2, 6144], [6144]]          | bf16  |       2.72       |       2.74        |       2.76       |        2.02        | 1.23e+04 | 3.69e+04 |      0.01%       |     0.68%     |
|   4   | 6144  | N/A |         [[4, 6144], [6144]]          | bf16  |       2.77       |        2.8        |       2.83       |        2.05        | 2.46e+04 | 7.37e+04 |      0.02%       |     1.33%     |
|   8   | 6144  | N/A |         [[8, 6144], [6144]]          | bf16  |       2.8        |       2.83        |       2.86       |        2.09        | 4.92e+04 | 1.47e+05 |      0.04%       |     2.63%     |
|  16   | 6144  | N/A |         [[16, 6144], [6144]]         | bf16  |       2.84       |       2.87        |       2.91       |        2.18        | 9.83e+04 | 2.95e+05 |      0.08%       |     5.19%     |
