test case : H20SXM_flash_attn::flash_attn.flash_attn_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |  flops_1D   |          flops_2D          | flops_SFU  | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 4096, 32, 128], [1, 4096, 32, 128], [1, 4096, 32, 128]]    |  bf16  |     1803.16      |      1808.41      |     1811.59      |       2.05        | [3758096... | [137438953472, 13743895... | [536870... |      9.59e-02      |      1.16e+00      |      1.97e-01       |  1.35e+08  |       9.59%        |      115.88%       |       19.73%        |    3.75%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 4096, 32, 128], [2, 4096, 32, 128], [2, 4096, 32, 128]]    |  bf16  |     3384.78      |      3392.27      |     3402.34      |       2.09        | [7516192... | [274877906944, 27487790... | [107374... |      1.02e-01      |      1.23e+00      |      2.10e-01       |  2.69e+08  |       10.22%       |      123.46%       |       21.02%        |    3.98%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[4, 4096, 32, 128], [4, 4096, 32, 128], [4, 4096, 32, 128]]    |  bf16  |     6556.76      |      6561.06      |     6566.43      |       2.17        | [1503238... | [549755813888, 54975581... | [214748... |      1.06e-01      |      1.27e+00      |      2.17e-01       |  5.38e+08  |       10.55%       |      127.47%       |       21.71%        |    4.10%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[8, 4096, 32, 128], [8, 4096, 32, 128], [8, 4096, 32, 128]]    |  bf16  |     12888.38     |     12894.41      |     12898.20     |       2.34        | [3006477... | [1099511627776, 1099511... | [429496... |      1.07e-01      |      1.30e+00      |      2.21e-01       |  1.07e+09  |       10.74%       |      129.69%       |       22.08%        |    4.17%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 8192, 32, 128], [1, 8192, 32, 128], [1, 8192, 32, 128]]    |  bf16  |     6665.66      |      6670.80      |     6678.10      |       2.05        | [1503238... | [549755813888, 54975581... | [214748... |      1.04e-01      |      1.25e+00      |      2.14e-01       |  2.71e+08  |       10.38%       |      125.39%       |       21.35%        |    2.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 8192, 32, 128], [2, 8192, 32, 128], [2, 8192, 32, 128]]    |  bf16  |     12769.70     |     12855.36      |     12889.27     |       2.09        | [3006477... | [1099511627776, 1099511... | [429496... |      1.08e-01      |      1.31e+00      |      2.23e-01       |  5.39e+08  |       10.84%       |      130.90%       |       22.29%        |    2.11%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[4, 8192, 32, 128], [4, 8192, 32, 128], [4, 8192, 32, 128]]    |  bf16  |     25096.25     |     25104.64      |     25111.17     |       2.17        | [6012954... | [2199023255552, 2199023... | [858993... |      1.10e-01      |      1.33e+00      |      2.27e-01       |  1.08e+09  |       11.03%       |      133.21%       |       22.68%        |    2.14%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[8, 8192, 32, 128], [8, 8192, 32, 128], [8, 8192, 32, 128]]    |  bf16  |     49759.83     |     49763.97      |     49769.09     |       2.34        | [1202590... | [4398046511104, 4398046... | [171798... |      1.11e-01      |      1.34e+00      |      2.29e-01       |  2.15e+09  |       11.12%       |      134.37%       |       22.88%        |    2.16%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  [[1, 16384, 32, 128], [1, 16384, 32, 128], [1, 16384, 32, 128]]  |  bf16  |     25302.92     |     25322.24      |     25332.85     |       2.05        | [6012954... | [2199023255552, 2199023... | [858993... |      1.09e-01      |      1.32e+00      |      2.25e-01       |  5.41e+08  |       10.94%       |      132.12%       |       22.50%        |    1.07%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  [[2, 16384, 32, 128], [2, 16384, 32, 128], [2, 16384, 32, 128]]  |  bf16  |     49735.75     |     49746.89      |     49757.32     |       2.09        | [1202590... | [4398046511104, 4398046... | [171798... |      1.11e-01      |      1.34e+00      |      2.29e-01       |  1.08e+09  |       11.13%       |      134.43%       |       22.89%        |    1.08%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[1, 2048, 8, 192], [1, 2048, 8, 192], [1, 2048, 8, 192]]     |  bf16  |      277.36      |      277.50       |      277.61      |       2.17        | [234881024] | [12884901888, 12884901888] | [33554432] |      3.90e-02      |      7.06e-01      |      8.02e-02       |  2.60e+07  |       3.90%        |       70.62%       |        8.02%        |    4.68%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[2, 2048, 8, 192], [2, 2048, 8, 192], [2, 2048, 8, 192]]     |  bf16  |      437.42      |      437.54       |      437.64      |       2.34        | [469762048] | [25769803776, 25769803776] | [67108864] |      4.94e-02      |      8.96e-01      |      1.02e-01       |  5.11e+07  |       4.94%        |       89.56%       |       10.17%        |    5.84%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[4, 2048, 8, 192], [4, 2048, 8, 192], [4, 2048, 8, 192]]     |  bf16  |      757.31      |      757.58       |      757.72      |       2.05        | [939524096] | [51539607552, 51539607552] | [134217... |      5.71e-02      |      1.03e+00      |      1.17e-01       |  1.01e+08  |       5.71%        |      103.46%       |       11.75%        |    6.70%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[8, 2048, 8, 192], [8, 2048, 8, 192], [8, 2048, 8, 192]]     |  bf16  |     1395.35      |      1395.82      |     1396.82      |       2.09        | [1879048... | [103079215104, 10307921... | [268435... |      6.20e-02      |      1.12e+00      |      1.27e-01       |  2.02e+08  |       6.20%        |      112.31%       |       12.75%        |    7.24%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[1, 4096, 8, 192], [1, 4096, 8, 192], [1, 4096, 8, 192]]     |  bf16  |      835.70      |      836.57       |      836.85      |       2.17        | [939524096] | [51539607552, 51539607552] | [134217... |      5.17e-02      |      9.38e-01      |      1.06e-01       |  5.19e+07  |       5.17%        |       93.76%       |       10.64%        |    3.11%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[2, 4096, 8, 192], [2, 4096, 8, 192], [2, 4096, 8, 192]]     |  bf16  |     1441.95      |      1442.84      |     1444.15      |       2.34        | [1879048... | [103079215104, 10307921... | [268435... |      6.00e-02      |      1.09e+00      |      1.23e-01       |  1.02e+08  |       6.00%        |      108.68%       |       12.34%        |    3.55%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[4, 4096, 8, 192], [4, 4096, 8, 192], [4, 4096, 8, 192]]     |  bf16  |     2657.00      |      2657.27      |     2657.45      |       2.05        | [3758096... | [206158430208, 20615843... | [536870... |      6.51e-02      |      1.18e+00      |      1.34e-01       |  2.03e+08  |       6.51%        |      117.96%       |       13.39%        |    3.82%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[8, 4096, 8, 192], [8, 4096, 8, 192], [8, 4096, 8, 192]]     |  bf16  |     5088.28      |      5088.38      |     5088.54      |       2.09        | [7516192... | [412316860416, 41231686... | [107374... |      6.80e-02      |      1.23e+00      |      1.40e-01       |  4.04e+08  |       6.80%        |      123.19%       |       13.99%        |    3.97%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[1, 8192, 8, 192], [1, 8192, 8, 192], [1, 8192, 8, 192]]     |  bf16  |     2802.34      |      2802.49      |     2802.94      |       2.17        | [3758096... | [206158430208, 20615843... | [536870... |      6.17e-02      |      1.12e+00      |      1.27e-01       |  1.04e+08  |       6.17%        |      111.84%       |       12.70%        |    1.85%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[2, 8192, 8, 192], [2, 8192, 8, 192], [2, 8192, 8, 192]]     |  bf16  |     5174.31      |      5174.77      |     5175.11      |       2.34        | [7516192... | [412316860416, 41231686... | [107374... |      6.69e-02      |      1.21e+00      |      1.38e-01       |  2.04e+08  |       6.69%        |      121.14%       |       13.75%        |    1.98%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[4, 8192, 8, 192], [4, 8192, 8, 192], [4, 8192, 8, 192]]     |  bf16  |     9912.45      |      9912.70      |     9912.94      |      147.10       | [1503238... | [824633720832, 82463372... | [214748... |      6.98e-02      |      1.26e+00      |      1.44e-01       |  4.06e+08  |       6.98%        |      126.47%       |       14.36%        |    2.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |     [[8, 8192, 8, 192], [8, 8192, 8, 192], [8, 8192, 8, 192]]     |  bf16  |     19388.40     |     19388.73      |     19388.99     |      292.20       | [3006477... | [1649267441664, 1649267... | [429496... |      7.14e-02      |      1.29e+00      |      1.47e-01       |  8.08e+08  |       7.14%        |      129.32%       |       14.68%        |    2.08%     |
