Test Case: H20SXM_aten_sub
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   2   |  32   | N/A |          [[2, 32], [2, 32]]          | bf16  |       1.58       |        1.6        |       1.62       |        2.0         | 6.40e+01 | 1.92e+02 |       0.0%       |     0.01%     |
|   4   |  32   | N/A |          [[4, 32], [4, 32]]          | bf16  |       1.58       |       1.61        |       1.66       |        2.0         | 1.28e+02 | 3.84e+02 |       0.0%       |     0.01%     |
|   8   |  32   | N/A |          [[8, 32], [8, 32]]          | bf16  |       1.56       |       1.59        |       1.62       |        2.0         | 2.56e+02 | 7.68e+02 |       0.0%       |     0.02%     |
|  16   |  32   | N/A |         [[16, 32], [16, 32]]         | bf16  |       1.49       |       1.51        |       1.53       |        2.0         | 5.12e+02 | 1.54e+03 |       0.0%       |     0.05%     |
|  32   |  32   | N/A |         [[32, 32], [32, 32]]         | bf16  |       1.58       |       1.61        |       1.65       |        2.0         | 1.02e+03 | 3.07e+03 |       0.0%       |     0.1%      |
|  64   |  32   | N/A |         [[64, 32], [64, 32]]         | bf16  |       1.75       |       1.78        |       1.82       |        2.0         | 2.05e+03 | 6.14e+03 |       0.0%       |     0.18%     |
|  128  |  32   | N/A |        [[128, 32], [128, 32]]        | bf16  |       1.78       |       1.81        |       1.85       |        2.01        | 4.10e+03 | 1.23e+04 |      0.01%       |     0.35%     |
|  256  |  32   | N/A |        [[256, 32], [256, 32]]        | bf16  |       1.83       |       1.86        |       1.91       |        2.02        | 8.19e+03 | 2.46e+04 |      0.01%       |     0.67%     |
|  512  |  32   | N/A |        [[512, 32], [512, 32]]        | bf16  |       1.82       |       1.86        |       1.89       |        2.03        | 1.64e+04 | 4.92e+04 |      0.02%       |     1.35%     |
| 1024  |  32   | N/A |       [[1024, 32], [1024, 32]]       | bf16  |       1.86       |       1.87        |       1.89       |        2.06        | 3.28e+04 | 9.83e+04 |      0.04%       |     2.64%     |
| 2048  |  32   | N/A |       [[2048, 32], [2048, 32]]       | bf16  |       1.87       |        1.9        |       1.93       |        2.12        | 6.55e+04 | 1.97e+05 |      0.08%       |     5.26%     |
| 4096  |  32   | N/A |       [[4096, 32], [4096, 32]]       | bf16  |       1.97       |       1.99        |       2.01       |        2.25        | 1.31e+05 | 3.93e+05 |      0.15%       |     9.98%     |
| 8192  |  32   | N/A |       [[8192, 32], [8192, 32]]       | bf16  |       2.16       |       2.19        |       2.22       |        2.49        | 2.62e+05 | 7.86e+05 |      0.28%       |     18.2%     |
| 16384 |  32   | N/A |      [[16384, 32], [16384, 32]]      | bf16  |       2.51       |       2.54        |       2.58       |        2.98        | 5.24e+05 | 1.57e+06 |      0.47%       |    31.33%     |
| 32768 |  32   | N/A |      [[32768, 32], [32768, 32]]      | bf16  |       3.15       |       3.18        |       3.21       |        3.97        | 1.05e+06 | 3.15e+06 |      0.76%       |    49.93%     |
