test case : H20SXM_aten::scaled_dot_product_attention
|  is_causal  |  scale   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |  flops_1D   |          flops_2D          |  flops_SFU  | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|    True     |   0.08   |      [[32, 1, 512, 64], [32, 1, 512, 64], [32, 1, 512, 64]]       |  bf16  |      34.92       |       35.02       |      35.07       |       7.24        |  [114688]   |     [2097152, 2097152]     |   [16384]   |      1.51e-04      |      9.13e-04      |      3.11e-04       |  8.39e+06  |       0.02%        |       0.09%        |        0.03%        |    12.01%    |
|    True     |   0.08   |      [[1, 1, 1024, 64], [1, 1, 1024, 64], [1, 1, 1024, 64]]       |  bf16  |      12.25       |       12.27       |      12.29       |       2.33        |   [7168]    |      [131072, 131072]      |   [1024]    |      2.69e-05      |      1.63e-04      |      5.54e-05       |  5.24e+05  |       0.00%        |       0.02%        |        0.01%        |    2.14%     |
|    True     |   0.08   |      [[2, 1, 1024, 64], [2, 1, 1024, 64], [2, 1, 1024, 64]]       |  bf16  |      17.70       |       17.73       |      17.81       |       2.66        |   [14336]   |      [262144, 262144]      |   [2048]    |      3.73e-05      |      2.25e-04      |      7.67e-05       |  1.05e+06  |       0.00%        |       0.02%        |        0.01%        |    2.96%     |
|    True     |   0.08   |      [[4, 1, 1024, 64], [4, 1, 1024, 64], [4, 1, 1024, 64]]       |  bf16  |      36.79       |       36.83       |      36.88       |       3.31        |   [28672]   |      [524288, 524288]      |   [4096]    |      3.59e-05      |      2.17e-04      |      7.38e-05       |  2.10e+06  |       0.00%        |       0.02%        |        0.01%        |    2.85%     |
|    True     |   0.08   |      [[8, 1, 1024, 64], [8, 1, 1024, 64], [8, 1, 1024, 64]]       |  bf16  |      37.15       |       37.17       |      37.20       |       4.62        |   [57344]   |     [1048576, 1048576]     |   [8192]    |      7.10e-05      |      4.29e-04      |      1.46e-04       |  4.19e+06  |       0.01%        |       0.04%        |        0.01%        |    5.65%     |
|    True     |   0.08   |     [[16, 1, 1024, 64], [16, 1, 1024, 64], [16, 1, 1024, 64]]     |  bf16  |      65.90       |       66.05       |      66.12       |       7.24        |  [114688]   |     [2097152, 2097152]     |   [16384]   |      8.01e-05      |      4.84e-04      |      1.65e-04       |  8.39e+06  |       0.01%        |       0.05%        |        0.02%        |    6.36%     |
|    True     |   0.08   |     [[32, 1, 1024, 64], [32, 1, 1024, 64], [32, 1, 1024, 64]]     |  bf16  |      90.26       |       91.46       |      92.07       |       12.49       |  [229376]   |     [4194304, 4194304]     |   [32768]   |      1.17e-04      |      7.06e-04      |      2.41e-04       |  1.68e+07  |       0.01%        |       0.07%        |        0.02%        |    9.29%     |
|    True     |   0.08   |           [[1, 1, 1, 80], [1, 1, 1, 80], [1, 1, 1, 64]]           |  bf16  |       7.57       |       7.59        |       7.69       |       2.00        |     [7]     |         [160, 160]         |     [1]     |      4.26e-08      |      3.21e-07      |      8.76e-08       |  8.00e+02  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|    True     |   0.08   |           [[2, 1, 1, 80], [2, 1, 1, 80], [2, 1, 1, 64]]           |  bf16  |       7.57       |       7.62        |       7.67       |       2.00        |    [14]     |         [320, 320]         |     [2]     |      8.52e-08      |      6.43e-07      |      1.75e-07       |  1.44e+03  |       0.00%        |       0.00%        |        0.00%        |    0.01%     |
|    True     |   0.08   |           [[4, 1, 1, 80], [4, 1, 1, 80], [4, 1, 1, 64]]           |  bf16  |       7.58       |       7.62        |       7.65       |       2.00        |    [28]     |         [640, 640]         |     [4]     |      1.70e-07      |      1.28e-06      |      3.50e-07       |  2.72e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|    True     |   0.08   |           [[8, 1, 1, 80], [8, 1, 1, 80], [8, 1, 1, 64]]           |  bf16  |       7.68       |       7.72        |       7.74       |       2.00        |    [56]     |        [1280, 1280]        |     [8]     |      3.35e-07      |      2.53e-06      |      6.90e-07       |  5.28e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|    True     |   0.08   |         [[16, 1, 1, 80], [16, 1, 1, 80], [16, 1, 1, 64]]          |  bf16  |       7.71       |       7.74        |       7.77       |       2.01        |    [112]    |        [2560, 2560]        |    [16]     |      6.69e-07      |      5.05e-06      |      1.38e-06       |  1.04e+04  |       0.00%        |       0.00%        |        0.00%        |    0.07%     |
|    True     |   0.08   |         [[32, 1, 1, 80], [32, 1, 1, 80], [32, 1, 1, 64]]          |  bf16  |       7.73       |       7.76        |       7.78       |       2.01        |    [224]    |        [5120, 5120]        |    [32]     |      1.33e-06      |      1.01e-05      |      2.74e-06       |  2.06e+04  |       0.00%        |       0.00%        |        0.00%        |    0.13%     |
|    True     |   0.08   |           [[1, 1, 4, 80], [1, 1, 4, 80], [1, 1, 4, 64]]           |  bf16  |       7.59       |       7.63        |       7.72       |       2.00        |    [28]     |         [640, 640]         |     [4]     |      1.70e-07      |      1.28e-06      |      3.49e-07       |  2.72e+03  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|    True     |   0.08   |           [[2, 1, 4, 80], [2, 1, 4, 80], [2, 1, 4, 64]]           |  bf16  |       7.60       |       7.64        |       7.68       |       2.00        |    [56]     |        [1280, 1280]        |     [8]     |      3.39e-07      |      2.56e-06      |      6.98e-07       |  5.28e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|    True     |   0.08   |           [[4, 1, 4, 80], [4, 1, 4, 80], [4, 1, 4, 64]]           |  bf16  |       7.61       |       7.63        |       7.67       |       2.01        |    [112]    |        [2560, 2560]        |    [16]     |      6.78e-07      |      5.12e-06      |      1.39e-06       |  1.04e+04  |       0.00%        |       0.00%        |        0.00%        |    0.07%     |
|    True     |   0.08   |           [[8, 1, 4, 80], [8, 1, 4, 80], [8, 1, 4, 64]]           |  bf16  |       7.74       |       7.76        |       7.79       |       2.01        |    [224]    |        [5120, 5120]        |    [32]     |      1.33e-06      |      1.01e-05      |      2.74e-06       |  2.06e+04  |       0.00%        |       0.00%        |        0.00%        |    0.13%     |
|    True     |   0.08   |         [[16, 1, 4, 80], [16, 1, 4, 80], [16, 1, 4, 64]]          |  bf16  |       7.73       |       7.75        |       7.79       |       2.03        |    [448]    |       [10240, 10240]       |    [64]     |      2.67e-06      |      2.01e-05      |      5.49e-06       |  4.11e+04  |       0.00%        |       0.00%        |        0.00%        |    0.27%     |
|    True     |   0.08   |         [[32, 1, 4, 80], [32, 1, 4, 80], [32, 1, 4, 64]]          |  bf16  |       7.73       |       7.78        |       7.85       |       2.05        |    [896]    |       [20480, 20480]       |    [128]    |      5.33e-06      |      4.03e-05      |      1.10e-05       |  8.21e+04  |       0.00%        |       0.00%        |        0.00%        |    0.53%     |
|    True     |   0.08   |           [[1, 1, 8, 80], [1, 1, 8, 80], [1, 1, 8, 64]]           |  bf16  |       7.54       |       7.56        |       7.58       |       2.00        |    [56]     |        [1280, 1280]        |     [8]     |      3.42e-07      |      2.58e-06      |      7.03e-07       |  5.28e+03  |       0.00%        |       0.00%        |        0.00%        |    0.04%     |
|    True     |   0.08   |           [[2, 1, 8, 80], [2, 1, 8, 80], [2, 1, 8, 64]]           |  bf16  |       7.56       |       7.58        |       7.61       |       2.01        |    [112]    |        [2560, 2560]        |    [16]     |      6.82e-07      |      5.15e-06      |      1.40e-06       |  1.04e+04  |       0.00%        |       0.00%        |        0.00%        |    0.07%     |
|    True     |   0.08   |           [[4, 1, 8, 80], [4, 1, 8, 80], [4, 1, 8, 64]]           |  bf16  |       7.56       |       7.58        |       7.60       |       2.01        |    [224]    |        [5120, 5120]        |    [32]     |      1.36e-06      |      1.03e-05      |      2.80e-06       |  2.06e+04  |       0.00%        |       0.00%        |        0.00%        |    0.14%     |
|    True     |   0.08   |           [[8, 1, 8, 80], [8, 1, 8, 80], [8, 1, 8, 64]]           |  bf16  |       7.67       |       7.69        |       7.74       |       2.03        |    [448]    |       [10240, 10240]       |    [64]     |      2.69e-06      |      2.03e-05      |      5.53e-06       |  4.11e+04  |       0.00%        |       0.00%        |        0.00%        |    0.27%     |
|    True     |   0.08   |         [[16, 1, 8, 80], [16, 1, 8, 80], [16, 1, 8, 64]]          |  bf16  |       7.66       |       7.71        |       7.74       |       2.05        |    [896]    |       [20480, 20480]       |    [128]    |      5.38e-06      |      4.06e-05      |      1.11e-05       |  8.21e+04  |       0.00%        |       0.00%        |        0.00%        |    0.54%     |
