test case : H20SXM_flash_attn::flash_attn.flash_attn_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D  |        flops_2D        | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[32, 64, 1, 64], [32, 64, 1, 64], [32, 64, 1, 64]]        |  bf16  |       8.81       |       8.84        |       8.88       |       2.66        |  [14336]  |    [262144, 262144]    |  [2048]   |      7.49e-05      |      4.52e-04      |      1.54e-04       |  1.05e+06  |       0.01%        |       0.05%        |        0.02%        |    5.95%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[1, 128, 1, 64], [1, 128, 1, 64], [1, 128, 1, 64]]        |  bf16  |       7.80       |       7.87        |       7.91       |       2.04        |   [896]   |     [16384, 16384]     |   [128]   |      5.29e-06      |      3.19e-05      |      1.09e-05       |  6.57e+04  |       0.00%        |       0.00%        |        0.00%        |    0.42%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[2, 128, 1, 64], [2, 128, 1, 64], [2, 128, 1, 64]]        |  bf16  |       7.87       |       7.92        |       8.02       |       2.08        |  [1792]   |     [32768, 32768]     |   [256]   |      1.05e-05      |      6.33e-05      |      2.16e-05       |  1.31e+05  |       0.00%        |       0.01%        |        0.00%        |    0.83%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[4, 128, 1, 64], [4, 128, 1, 64], [4, 128, 1, 64]]        |  bf16  |       7.88       |       7.92        |       7.98       |       2.16        |  [3584]   |     [65536, 65536]     |   [512]   |      2.09e-05      |      1.26e-04      |      4.31e-05       |  2.62e+05  |       0.00%        |       0.01%        |        0.00%        |    1.66%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[8, 128, 1, 64], [8, 128, 1, 64], [8, 128, 1, 64]]        |  bf16  |       8.12       |       8.15        |       8.19       |       2.33        |  [7168]   |    [131072, 131072]    |  [1024]   |      4.06e-05      |      2.45e-04      |      8.35e-05       |  5.24e+05  |       0.00%        |       0.02%        |        0.01%        |    3.23%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[16, 128, 1, 64], [16, 128, 1, 64], [16, 128, 1, 64]]       |  bf16  |       8.04       |       8.06        |       8.07       |       2.66        |  [14336]  |    [262144, 262144]    |  [2048]   |      8.20e-05      |      4.95e-04      |      1.69e-04       |  1.05e+06  |       0.01%        |       0.05%        |        0.02%        |    6.52%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[32, 128, 1, 64], [32, 128, 1, 64], [32, 128, 1, 64]]       |  bf16  |       8.15       |       8.18        |       8.23       |       3.31        |  [28672]  |    [524288, 524288]    |  [4096]   |      1.62e-04      |      9.78e-04      |      3.33e-04       |  2.10e+06  |       0.02%        |       0.10%        |        0.03%        |    12.86%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[1, 256, 1, 64], [1, 256, 1, 64], [1, 256, 1, 64]]        |  bf16  |      12.09       |       12.13       |      12.17       |       2.08        |  [1792]   |     [32768, 32768]     |   [256]   |      6.82e-06      |      4.12e-05      |      1.40e-05       |  1.31e+05  |       0.00%        |       0.00%        |        0.00%        |    0.54%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[2, 256, 1, 64], [2, 256, 1, 64], [2, 256, 1, 64]]        |  bf16  |      12.09       |       12.12       |      12.16       |       2.16        |  [3584]   |     [65536, 65536]     |   [512]   |      1.36e-05      |      8.24e-05      |      2.81e-05       |  2.62e+05  |       0.00%        |       0.01%        |        0.00%        |    1.08%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[4, 256, 1, 64], [4, 256, 1, 64], [4, 256, 1, 64]]        |  bf16  |      12.27       |       12.33       |      12.39       |       2.33        |  [7168]   |    [131072, 131072]    |  [1024]   |      2.69e-05      |      1.62e-04      |      5.53e-05       |  5.24e+05  |       0.00%        |       0.02%        |        0.01%        |    2.14%     |
