Test Case: B200_aten-scaled_dot_product_attention
| B  | MQ  |  MK   | MQKV  | NHQ | NHK | DQK | DV  |   C   |   S   |       _tensor       |      _tensor_1      |      _tensor_2      | is_causal | scale | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
| 4  | N/A |  N/A  | 8192  |  8  |  1  | 192 | 257 | True  | 0.08  |  [4, 8, 8192, 192]  |  [4, 1, 8192, 192]  |  [4, 1, 8192, 257]  |   True    | 0.08  | bf16  |     39326.66      |     39321.93     |     39331.64     |       190.84       |
| 8  | N/A |  N/A  | 8192  |  8  |  1  | 192 | 257 | True  | 0.08  |  [8, 8, 8192, 192]  |  [8, 1, 8192, 192]  |  [8, 1, 8192, 257]  |   True    | 0.08  | bf16  |     78052.15      |     78043.3      |     78060.48     |        7.9         |
| 1  | N/A |  N/A  | 16384 |  8  |  1  | 192 | 257 | True  | 0.08  | [1, 8, 16384, 192]  | [1, 1, 16384, 192]  | [1, 1, 16384, 257]  |   True    | 0.08  | bf16  |      35474.5      |     35473.08     |     35477.04     |       13.81        |
| 2  | N/A |  N/A  | 16384 |  8  |  1  | 192 | 257 | True  | 0.08  | [2, 8, 16384, 192]  | [2, 1, 16384, 192]  | [2, 1, 16384, 257]  |   True    | 0.08  | bf16  |     69684.27      |     69679.45     |     69686.4      |       49.23        |
| 4  | N/A |  N/A  | 16384 |  8  |  1  | 192 | 257 | True  | 0.08  | [4, 8, 16384, 192]  | [4, 1, 16384, 192]  | [4, 1, 16384, 257]  |   True    | 0.08  | bf16  |     137750.95     |    137740.36     |    137760.33     |       96.46        |
| 8  | N/A |  N/A  | 16384 |  8  |  1  | 192 | 257 | True  | 0.08  | [8, 8, 16384, 192]  | [8, 1, 16384, 192]  | [8, 1, 16384, 257]  |   True    | 0.08  | bf16  |     274870.34     |    274736.34     |    275008.06     |       190.93       |
| 1  | N/A |  N/A  | 32768 |  8  |  1  | 192 | 257 | True  | 0.08  | [1, 8, 32768, 192]  | [1, 1, 32768, 192]  | [1, 1, 32768, 257]  |   True    | 0.08  | bf16  |     127334.62     |    127332.03     |    127337.06     |        7.92        |
| 2  | N/A |  N/A  | 32768 |  8  |  1  | 192 | 257 | True  | 0.08  | [2, 8, 32768, 192]  | [2, 1, 32768, 192]  | [2, 1, 32768, 257]  |   True    | 0.08  | bf16  |     250446.44     |    250172.02     |    250590.98     |       13.84        |
| 1  | N/A |  N/A  | 2048  |  8  |  8  | 192 | 257 | True  | 0.08  |  [1, 8, 2048, 192]  |  [1, 8, 2048, 192]  |  [1, 8, 2048, 257]  |   True    | 0.08  | bf16  |      760.78       |      759.98      |      761.52      |       49.37        |
| 2  | N/A |  N/A  | 2048  |  8  |  8  | 192 | 257 | True  | 0.08  |  [2, 8, 2048, 192]  |  [2, 8, 2048, 192]  |  [2, 8, 2048, 257]  |   True    | 0.08  | bf16  |      1352.16      |     1350.86      |     1352.68      |       96.74        |
| 4  | N/A |  N/A  | 2048  |  8  |  8  | 192 | 257 | True  | 0.08  |  [4, 8, 2048, 192]  |  [4, 8, 2048, 192]  |  [4, 8, 2048, 257]  |   True    | 0.08  | bf16  |      2541.09      |     2540.04      |     2542.56      |       191.48       |
| 8  | N/A |  N/A  | 2048  |  8  |  8  | 192 | 257 | True  | 0.08  |  [8, 8, 2048, 192]  |  [8, 8, 2048, 192]  |  [8, 8, 2048, 257]  |   True    | 0.08  | bf16  |      4875.63      |     4874.53      |     4876.75      |        7.99        |
| 1  | N/A |  N/A  | 4096  |  8  |  8  | 192 | 257 | True  | 0.08  |  [1, 8, 4096, 192]  |  [1, 8, 4096, 192]  |  [1, 8, 4096, 257]  |   True    | 0.08  | bf16  |      2615.68      |     2615.16      |     2616.17      |       13.98        |
| 2  | N/A |  N/A  | 4096  |  8  |  8  | 192 | 257 | True  | 0.08  |  [2, 8, 4096, 192]  |  [2, 8, 4096, 192]  |  [2, 8, 4096, 257]  |   True    | 0.08  | bf16  |      4958.86      |     4957.95      |     4959.74      |       49.92        |
| 4  | N/A |  N/A  | 4096  |  8  |  8  | 192 | 257 | True  | 0.08  |  [4, 8, 4096, 192]  |  [4, 8, 4096, 192]  |  [4, 8, 4096, 257]  |   True    | 0.08  | bf16  |      9570.38      |     9569.56      |     9571.53      |       97.85        |
| 8  | N/A |  N/A  | 4096  |  8  |  8  | 192 | 257 | True  | 0.08  |  [8, 8, 4096, 192]  |  [8, 8, 4096, 192]  |  [8, 8, 4096, 257]  |   True    | 0.08  | bf16  |     18818.59      |     18816.27     |     18820.65     |       193.69       |
| 1  | N/A |  N/A  | 8192  |  8  |  8  | 192 | 257 | True  | 0.08  |  [1, 8, 8192, 192]  |  [1, 8, 8192, 192]  |  [1, 8, 8192, 257]  |   True    | 0.08  | bf16  |     10342.22      |     10340.3      |     10344.04     |        8.27        |
| 2  | N/A |  N/A  | 8192  |  8  |  8  | 192 | 257 | True  | 0.08  |  [2, 8, 8192, 192]  |  [2, 8, 8192, 192]  |  [2, 8, 8192, 257]  |   True    | 0.08  | bf16  |     19967.35      |     19964.45     |     19968.83     |       14.53        |
| 4  | N/A |  N/A  | 8192  |  8  |  8  | 192 | 257 | True  | 0.08  |  [4, 8, 8192, 192]  |  [4, 8, 8192, 192]  |  [4, 8, 8192, 257]  |   True    | 0.08  | bf16  |     39288.58      |     39279.52     |     39295.44     |       52.14        |
| 8  | N/A |  N/A  | 8192  |  8  |  8  | 192 | 257 | True  | 0.08  |  [8, 8, 8192, 192]  |  [8, 8, 8192, 192]  |  [8, 8, 8192, 257]  |   True    | 0.08  | bf16  |     77961.27      |     77939.41     |     77980.33     |       102.27       |
| 1  | N/A |  N/A  | 16384 |  8  |  8  | 192 | 257 | True  | 0.08  | [1, 8, 16384, 192]  | [1, 8, 16384, 192]  | [1, 8, 16384, 257]  |   True    | 0.08  | bf16  |     35619.34      |     35616.21     |     35621.35     |       202.54       |
| 2  | N/A |  N/A  | 16384 |  8  |  8  | 192 | 257 | True  | 0.08  | [2, 8, 16384, 192]  | [2, 8, 16384, 192]  | [2, 8, 16384, 257]  |   True    | 0.08  | bf16  |      69605.3      |     69599.82     |     69610.67     |       11.54        |
| 4  | N/A |  N/A  | 16384 |  8  |  8  | 192 | 257 | True  | 0.08  | [4, 8, 16384, 192]  | [4, 8, 16384, 192]  | [4, 8, 16384, 257]  |   True    | 0.08  | bf16  |     137606.81     |    137593.72     |    137613.27     |       21.09        |
| 1  | N/A |  N/A  | 32768 |  8  |  8  | 192 | 257 | True  | 0.08  | [1, 8, 32768, 192]  | [1, 8, 32768, 192]  | [1, 8, 32768, 257]  |   True    | 0.08  | bf16  |     127666.41     |    127654.16     |    127673.31     |       78.35        |
| 1  | N/A |  N/A  | 2048  |  8  |  1  | 257 | 257 | True  | 0.08  |  [1, 8, 2048, 257]  |  [1, 1, 2048, 257]  |  [1, 1, 2048, 257]  |   True    | 0.08  | bf16  |      874.34       |      872.46      |      875.52      |       154.71       |
| 2  | N/A |  N/A  | 2048  |  8  |  1  | 257 | 257 | True  | 0.08  |  [2, 8, 2048, 257]  |  [2, 1, 2048, 257]  |  [2, 1, 2048, 257]  |   True    | 0.08  | bf16  |      1628.55      |     1628.29      |     1628.74      |       307.42       |
| 4  | N/A |  N/A  | 2048  |  8  |  1  | 257 | 257 | True  | 0.08  |  [4, 8, 2048, 257]  |  [4, 1, 2048, 257]  |  [4, 1, 2048, 257]  |   True    | 0.08  | bf16  |      3103.34      |     3101.51      |     3104.68      |       21.09        |
| 8  | N/A |  N/A  | 2048  |  8  |  1  | 257 | 257 | True  | 0.08  |  [8, 8, 2048, 257]  |  [8, 1, 2048, 257]  |  [8, 1, 2048, 257]  |   True    | 0.08  | bf16  |      5995.22      |     5994.87      |     5995.58      |       40.18        |
| 1  | N/A |  N/A  | 4096  |  8  |  1  | 257 | 257 | True  | 0.08  |  [1, 8, 4096, 257]  |  [1, 1, 4096, 257]  |  [1, 1, 4096, 257]  |   True    | 0.08  | bf16  |      3099.16      |     3098.87      |     3099.58      |       154.71       |
| 2  | N/A |  N/A  | 4096  |  8  |  1  | 257 | 257 | True  | 0.08  |  [2, 8, 4096, 257]  |  [2, 1, 4096, 257]  |  [2, 1, 4096, 257]  |   True    | 0.08  | bf16  |      6033.72      |     6032.87      |      6034.8      |       307.42       |
| 4  | N/A |  N/A  | 4096  |  8  |  1  | 257 | 257 | True  | 0.08  |  [4, 8, 4096, 257]  |  [4, 1, 4096, 257]  |  [4, 1, 4096, 257]  |   True    | 0.08  | bf16  |     11698.11      |     11697.3      |     11698.88     |       612.84       |
| 8  | N/A |  N/A  | 4096  |  8  |  1  | 257 | 257 | True  | 0.08  |  [8, 8, 4096, 257]  |  [8, 1, 4096, 257]  |  [8, 1, 4096, 257]  |   True    | 0.08  | bf16  |     23036.37      |     23034.37     |     23038.09     |        9.87        |
| 1  | N/A |  N/A  | 8192  |  8  |  1  | 257 | 257 | True  | 0.08  |  [1, 8, 8192, 257]  |  [1, 1, 8192, 257]  |  [1, 1, 8192, 257]  |   True    | 0.08  | bf16  |     12319.84      |     12318.12     |     12321.5      |       17.74        |
| 2  | N/A |  N/A  | 8192  |  8  |  1  | 257 | 257 | True  | 0.08  |  [2, 8, 8192, 257]  |  [2, 1, 8192, 257]  |  [2, 1, 8192, 257]  |   True    | 0.08  | bf16  |     24050.97      |     24037.98     |     24062.95     |       64.94        |
| 4  | N/A |  N/A  | 8192  |  8  |  1  | 257 | 257 | True  | 0.08  |  [4, 8, 8192, 257]  |  [4, 1, 8192, 257]  |  [4, 1, 8192, 257]  |   True    | 0.08  | bf16  |     47400.56      |     47394.35     |     47405.76     |       127.89       |
| 8  | N/A |  N/A  | 8192  |  8  |  1  | 257 | 257 | True  | 0.08  |  [8, 8, 8192, 257]  |  [8, 1, 8192, 257]  |  [8, 1, 8192, 257]  |   True    | 0.08  | bf16  |     94150.54      |     94145.88     |     94155.34     |       253.77       |
| 1  | N/A |  N/A  | 16384 |  8  |  1  | 257 | 257 | True  | 0.08  | [1, 8, 16384, 257]  | [1, 1, 16384, 257]  | [1, 1, 16384, 257]  |   True    | 0.08  | bf16  |     43638.41      |     43636.02     |     43640.19     |        9.87        |
| 2  | N/A |  N/A  | 16384 |  8  |  1  | 257 | 257 | True  | 0.08  | [2, 8, 16384, 257]  | [2, 1, 16384, 257]  | [2, 1, 16384, 257]  |   True    | 0.08  | bf16  |     85864.55      |     85861.39     |     85866.85     |       17.74        |
| 4  | N/A |  N/A  | 16384 |  8  |  1  | 257 | 257 | True  | 0.08  | [4, 8, 16384, 257]  | [4, 1, 16384, 257]  | [4, 1, 16384, 257]  |   True    | 0.08  | bf16  |     170064.36     |    170048.64     |    170072.52     |       64.97        |
