Test Case: B200_aten-baddbmm
| B  |  M   |  K   |  N   |     _tensor      |    _tensor_1     |    _tensor_2     | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
| 2  | 1024 | 6144 | 3072 | [2, 1024, 3072]  | [2, 1024, 6144]  | [2, 6144, 3072]  | bf16  |      104.79       |      104.27      |      105.28      |        N/A         |
| 8  | 1024 | 6144 | 3072 | [8, 1024, 3072]  | [8, 1024, 6144]  | [8, 6144, 3072]  | bf16  |      221.11       |      220.02      |      225.59      |        N/A         |
| 16 | 1024 | 6144 | 3072 | [16, 1024, 3072] | [16, 1024, 6144] | [16, 6144, 3072] | bf16  |      420.93       |      418.82      |      424.92      |        N/A         |
| 32 | 1024 | 6144 | 3072 | [32, 1024, 3072] | [32, 1024, 6144] | [32, 6144, 3072] | bf16  |      892.46       |      826.09      |      944.36      |        N/A         |
| 1  |  1   | 8192 | 3072 |   [1, 1, 3072]   |   [1, 1, 8192]   | [1, 8192, 3072]  | bf16  |      108.37       |      107.34      |      109.3       |        N/A         |
| 2  |  1   | 8192 | 3072 |   [2, 1, 3072]   |   [2, 1, 8192]   | [2, 8192, 3072]  | bf16  |      105.06       |      104.19      |      106.09      |        N/A         |
| 8  |  1   | 8192 | 3072 |   [8, 1, 3072]   |   [8, 1, 8192]   | [8, 8192, 3072]  | bf16  |      105.37       |      104.45      |      108.17      |        N/A         |
| 16 |  1   | 8192 | 3072 |  [16, 1, 3072]   |  [16, 1, 8192]   | [16, 8192, 3072] | bf16  |      127.04       |      126.69      |      127.26      |        N/A         |
| 32 |  1   | 8192 | 3072 |  [32, 1, 3072]   |  [32, 1, 8192]   | [32, 8192, 3072] | bf16  |      238.19       |      238.02      |      238.39      |        N/A         |
| 1  |  2   | 8192 | 3072 |   [1, 2, 3072]   |   [1, 2, 8192]   | [1, 8192, 3072]  | bf16  |      107.11       |      106.13      |      107.88      |        N/A         |
| 2  |  2   | 8192 | 3072 |   [2, 2, 3072]   |   [2, 2, 8192]   | [2, 8192, 3072]  | bf16  |       105.1       |      103.84      |      107.95      |        N/A         |
| 8  |  2   | 8192 | 3072 |   [8, 2, 3072]   |   [8, 2, 8192]   | [8, 8192, 3072]  | bf16  |      105.66       |      105.22      |      106.28      |        N/A         |
| 16 |  2   | 8192 | 3072 |  [16, 2, 3072]   |  [16, 2, 8192]   | [16, 8192, 3072] | bf16  |      122.92       |      122.3       |      123.7       |        N/A         |
| 32 |  2   | 8192 | 3072 |  [32, 2, 3072]   |  [32, 2, 8192]   | [32, 8192, 3072] | bf16  |       241.4       |      240.79      |      242.17      |        N/A         |
| 1  |  8   | 8192 | 3072 |   [1, 8, 3072]   |   [1, 8, 8192]   | [1, 8192, 3072]  | bf16  |      108.98       |      108.41      |      110.14      |        N/A         |
| 2  |  8   | 8192 | 3072 |   [2, 8, 3072]   |   [2, 8, 8192]   | [2, 8192, 3072]  | bf16  |      105.96       |      105.6       |      106.54      |        N/A         |
| 8  |  8   | 8192 | 3072 |   [8, 8, 3072]   |   [8, 8, 8192]   | [8, 8192, 3072]  | bf16  |      107.09       |      106.56      |      107.64      |        N/A         |
| 16 |  8   | 8192 | 3072 |  [16, 8, 3072]   |  [16, 8, 8192]   | [16, 8192, 3072] | bf16  |      126.28       |      125.07      |      128.69      |        N/A         |
| 32 |  8   | 8192 | 3072 |  [32, 8, 3072]   |  [32, 8, 8192]   | [32, 8192, 3072] | bf16  |      233.71       |      233.27      |      234.07      |        N/A         |
| 1  |  32  | 8192 | 3072 |  [1, 32, 3072]   |  [1, 32, 8192]   | [1, 8192, 3072]  | bf16  |      108.44       |      107.99      |      109.49      |        N/A         |
| 2  |  32  | 8192 | 3072 |  [2, 32, 3072]   |  [2, 32, 8192]   | [2, 8192, 3072]  | bf16  |      105.84       |      103.98      |      109.53      |        N/A         |
