Test Case: L40S_aten_mul
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  256  | 3072  | N/A |        [[256, 3072], [3072]]         | bf16  |       3.69       |       3.74        |       3.8        |        8.83        | 7.86e+05 | 2.36e+06 |      0.47%       |    148.0%     |
|  512  | 3072  | N/A |        [[512, 3072], [3072]]         | bf16  |       4.9        |       4.93        |       4.97       |       15.65        | 1.57e+06 | 4.72e+06 |       0.7%       |    222.91%    |
| 1024  | 3072  | N/A |        [[1024, 3072], [3072]]        | bf16  |       7.21       |       7.24        |       7.28       |       29.31        | 3.15e+06 | 9.44e+06 |      0.95%       |    302.99%    |
| 2048  | 3072  | N/A |        [[2048, 3072], [3072]]        | bf16  |      11.96       |       12.0        |      12.03       |       56.61        | 6.29e+06 | 1.89e+07 |      1.15%       |    365.31%    |
| 4096  | 3072  | N/A |        [[4096, 3072], [3072]]        | bf16  |       23.3       |       23.51       |      23.72       |       111.23       | 1.26e+07 | 3.77e+07 |      1.18%       |    375.03%    |
| 8192  | 3072  | N/A |        [[8192, 3072], [3072]]        | bf16  |      147.0       |       147.5       |      148.15      |       220.45       | 2.52e+07 | 7.55e+07 |      0.37%       |    118.89%    |
| 16384 | 3072  | N/A |       [[16384, 3072], [3072]]        | bf16  |      307.58      |      309.76       |      311.32      |       438.91       | 5.03e+07 | 1.51e+08 |      0.36%       |    113.64%    |
| 32768 | 3072  | N/A |       [[32768, 3072], [3072]]        | bf16  |      614.5       |       616.3       |      617.54      |       875.81       | 1.01e+08 | 3.02e+08 |      0.36%       |    113.76%    |
|   1   | 4096  | N/A |         [[1, 4096], [4096]]          | bf16  |       1.86       |       1.91        |       1.96       |        2.04        | 4.10e+03 | 1.23e+04 |       0.0%       |     1.53%     |
|   2   | 4096  | N/A |         [[2, 4096], [4096]]          | bf16  |       2.55       |       2.57        |       2.59       |        2.07        | 8.19e+03 | 2.46e+04 |      0.01%       |     2.23%     |
|   4   | 4096  | N/A |         [[4, 4096], [4096]]          | bf16  |       2.66       |       2.75        |       2.84       |        2.14        | 1.64e+04 | 4.92e+04 |      0.01%       |     4.28%     |
|   8   | 4096  | N/A |         [[8, 4096], [4096]]          | bf16  |       2.63       |       2.66        |       2.68       |        2.28        | 3.28e+04 | 9.83e+04 |      0.03%       |     8.65%     |
|  16   | 4096  | N/A |         [[16, 4096], [4096]]         | bf16  |       2.75       |       2.77        |       2.78       |        2.57        | 6.55e+04 | 1.97e+05 |      0.05%       |    16.55%     |
|  32   | 4096  | N/A |         [[32, 4096], [4096]]         | bf16  |       2.74       |       2.79        |       2.85       |        3.14        | 1.31e+05 | 3.93e+05 |       0.1%       |    33.22%     |
|  64   | 4096  | N/A |         [[64, 4096], [4096]]         | bf16  |       3.04       |       3.07        |       3.11       |        4.28        | 2.62e+05 | 7.86e+05 |      0.19%       |    59.88%     |
|  128  | 4096  | N/A |        [[128, 4096], [4096]]         | bf16  |       3.38       |        3.4        |       3.43       |        6.55        | 5.24e+05 | 1.57e+06 |      0.34%       |    107.72%    |
|  256  | 4096  | N/A |        [[256, 4096], [4096]]         | bf16  |       4.15       |       4.21        |       4.28       |        11.1        | 1.05e+06 | 3.15e+06 |      0.55%       |    175.46%    |
|  512  | 4096  | N/A |        [[512, 4096], [4096]]         | bf16  |       5.82       |       5.86        |       5.92       |        20.2        | 2.10e+06 | 6.29e+06 |      0.79%       |    250.23%    |
