test case : L40S_flash_attn::flash_attn.flash_attn_qkvpacked_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |   M    |        input_shape         | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D |      flops_2D      | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  256   |   [[32, 256, 3, 1, 64]]    |  bf16  |       8.29       |       8.32        |       8.34       |       2.05        |  [224]   |    [4096, 4096]    |   [32]    |      1.19e-06      |      3.04e-06      |      2.46e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.46%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |    [[1, 512, 3, 1, 64]]    |  bf16  |       7.81       |       7.82        |       7.84       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      3.96e-08      |      1.01e-07      |      8.16e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |    [[2, 512, 3, 1, 64]]    |  bf16  |       7.91       |       7.94        |       8.01       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      7.83e-08      |      1.99e-07      |      1.61e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |    [[4, 512, 3, 1, 64]]    |  bf16  |       8.32       |       8.33        |       8.35       |       2.01        |   [28]   |     [512, 512]     |    [4]    |      1.49e-07      |      3.78e-07      |      3.06e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.06%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |    [[8, 512, 3, 1, 64]]    |  bf16  |       9.19       |       9.23        |       9.29       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      2.69e-07      |      6.85e-07      |      5.54e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.11%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |   [[16, 512, 3, 1, 64]]    |  bf16  |      12.66       |       12.72       |      12.78       |       2.02        |  [112]   |    [2048, 2048]    |   [16]    |      3.91e-07      |      9.95e-07      |      8.05e-07       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.15%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  512   |   [[32, 512, 3, 1, 64]]    |  bf16  |      13.27       |       13.30       |      13.33       |       2.05        |  [224]   |    [4096, 4096]    |   [32]    |      7.46e-07      |      1.90e-06      |      1.54e-06       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.29%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  1024  |   [[1, 1024, 3, 1, 64]]    |  bf16  |       8.36       |       8.38        |       8.42       |       2.00        |   [7]    |     [128, 128]     |    [1]    |      3.70e-08      |      9.41e-08      |      7.62e-08       |  6.40e+02  |       0.00%        |       0.00%        |        0.00%        |    0.02%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  1024  |   [[2, 1024, 3, 1, 64]]    |  bf16  |       9.13       |       9.16        |       9.20       |       2.00        |   [14]   |     [256, 256]     |    [2]    |      6.78e-08      |      1.72e-07      |      1.40e-07       |  1.15e+03  |       0.00%        |       0.00%        |        0.00%        |    0.03%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  1024  |   [[4, 1024, 3, 1, 64]]    |  bf16  |      11.45       |       11.47       |      11.49       |       2.01        |   [28]   |     [512, 512]     |    [4]    |      1.08e-07      |      2.75e-07      |      2.22e-07       |  2.18e+03  |       0.00%        |       0.00%        |        0.00%        |    0.04%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  1024  |   [[8, 1024, 3, 1, 64]]    |  bf16  |      21.55       |       21.59       |      21.64       |       2.01        |   [56]   |    [1024, 1024]    |    [8]    |      1.15e-07      |      2.92e-07      |      2.36e-07       |  4.22e+03  |       0.00%        |       0.00%        |        0.00%        |    0.05%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  1024  |   [[16, 1024, 3, 1, 64]]   |  bf16  |      22.16       |       22.21       |      22.23       |       2.02        |  [112]   |    [2048, 2048]    |   [16]    |      2.23e-07      |      5.68e-07      |      4.60e-07       |  8.32e+03  |       0.00%        |       0.00%        |        0.00%        |    0.09%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  1024  |   [[32, 1024, 3, 1, 64]]   |  bf16  |      33.77       |       33.80       |      33.88       |       2.05        |  [224]   |    [4096, 4096]    |   [32]    |      2.93e-07      |      7.46e-07      |      6.03e-07       |  1.65e+04  |       0.00%        |       0.00%        |        0.00%        |    0.11%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[1, 1, 3, 4, 64]]     |  bf16  |       5.13       |       5.15        |       5.18       |       2.01        |  [112]   |    [2048, 2048]    |   [16]    |      9.66e-07      |      2.46e-06      |      1.99e-06       |  2.56e+03  |       0.00%        |       0.00%        |        0.00%        |    0.12%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[2, 1, 3, 4, 64]]     |  bf16  |       5.14       |       5.15        |       5.17       |       2.01        |  [224]   |    [4096, 4096]    |   [32]    |      1.93e-06      |      4.90e-06      |      3.97e-06       |  4.61e+03  |       0.00%        |       0.00%        |        0.00%        |    0.21%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   1    |     [[4, 1, 3, 4, 64]]     |  bf16  |       5.12       |       5.14        |       5.17       |       2.03        |  [448]   |    [8192, 8192]    |   [64]    |      3.87e-06      |      9.84e-06      |      7.96e-06       |  8.70e+03  |       0.00%        |       0.00%        |        0.00%        |    0.39%     |
