test case : L40S_flash_attn::flash_attn.flash_attn_func
|    B     |    C     |    D     |    De    |   Drop    |   MQKV   |   NHK    |   NHQ    |     S     |  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) |    2D_flops    |  activation  |   params   |     flops_1D      |              flops_2D              |    flops_SFU     |  flops_efficient_1D  |  flops_efficient_2D  |  flops_efficient_SFU  |     io     | io_efficient |
|   128    |   True   |   128    |   True   |    0.0    |  16384   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[4, 16384, 32, 128], [4, 16384, 8, 128], [4, 16384, 8, 128]]   |  bf16  |     47608.25     |     49076.00      |     49998.86     |     60084.60      |    1.76e+13    |   8.39e+06   |  0.00e+00  |  [240518168576]   |   [8796093022208, 8796093022208]   |  [34359738368]   |       1.99e-01       |       1.14e+00       |       2.27e-01        |  1.88e+09  |    9.14%     |
|    32    |   True   |   128    |   True   |    0.0    |  32768   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 32768, 32, 128], [1, 32768, 8, 128], [1, 32768, 8, 128]]   |  bf16  |     47357.29     |     49038.61      |     49591.15     |     60084.60      |    1.76e+13    |   4.19e+06   |  0.00e+00  |  [240518168576]   |   [8796093022208, 8796093022208]   |  [34359738368]   |       2.00e-01       |       1.14e+00       |       2.28e-01        |  9.40e+08  |    4.59%     |
|    64    |   True   |   128    |   True   |    0.0    |  32768   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 32768, 32, 128], [2, 32768, 8, 128], [2, 32768, 8, 128]]   |  bf16  |     95468.79     |     98615.23      |    100122.55     |     120167.21     |    3.52e+13    |   8.39e+06   |  0.00e+00  |  [481036337152]   |  [17592186044416, 17592186044416]  |  [68719476736]   |       1.98e-01       |       1.13e+00       |       2.26e-01        |  1.88e+09  |    4.56%     |
|   128    |   True   |   128    |   True   |    0.0    |  32768   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[4, 32768, 32, 128], [4, 32768, 8, 128], [4, 32768, 8, 128]]   |  bf16  |    194887.73     |     199915.47     |    202118.94     |     240332.41     |    7.04e+13    |   1.68e+07   |  0.00e+00  |  [962072674304]   |  [35184372088832, 35184372088832]  |  [137438953472]  |       1.94e-01       |       1.11e+00       |       2.22e-01        |  3.76e+09  |    4.46%     |
|    32    |   True   |   128    |   True   |    0.0    |  65536   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 65536, 32, 128], [1, 65536, 8, 128], [1, 65536, 8, 128]]   |  bf16  |    189390.23     |     192097.77     |    193315.17     |     240332.41     |    7.04e+13    |   8.39e+06   |  0.00e+00  |  [962072674304]   |  [35184372088832, 35184372088832]  |  [137438953472]  |       2.00e-01       |       1.14e+00       |       2.28e-01        |  1.88e+09  |    2.30%     |
|    64    |   True   |   128    |   True   |    0.0    |  65536   |    8     |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 65536, 32, 128], [2, 65536, 8, 128], [2, 65536, 8, 128]]   |  bf16  |    384307.44     |     389241.22     |    393970.69     |     480662.82     |    1.41e+14    |   1.68e+07   |  0.00e+00  |  [1924145348608]  |  [70368744177664, 70368744177664]  |  [274877906944]  |       1.97e-01       |       1.13e+00       |       2.25e-01        |  3.76e+09  |    2.26%     |
|    32    |   True   |   128    |   True   |    0.0    |   2048   |    32    |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 2048, 32, 128], [1, 2048, 32, 128], [1, 2048, 32, 128]]    |  bf16  |      195.64      |      203.03       |      208.13      |      135.50       |    6.87e+10    |   2.62e+05   |  0.00e+00  |    [939524096]    |     [34359738368, 34359738368]     |   [134217728]    |       1.89e-01       |       1.08e+00       |       2.16e-01        |  8.39e+07  |    99.25%    |
|    64    |   True   |   128    |   True   |    0.0    |   2048   |    32    |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[2, 2048, 32, 128], [2, 2048, 32, 128], [2, 2048, 32, 128]]    |  bf16  |      413.48      |      438.22       |      474.78      |      269.00       |    1.37e+11    |   5.24e+05   |  0.00e+00  |   [1879048192]    |     [68719476736, 68719476736]     |   [268435456]    |       1.79e-01       |       1.02e+00       |       2.04e-01        |  1.68e+08  |    93.92%    |
|   128    |   True   |   128    |   True   |    0.0    |   2048   |    32    |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[4, 2048, 32, 128], [4, 2048, 32, 128], [4, 2048, 32, 128]]    |  bf16  |      775.93      |      871.11       |      956.95      |      536.00       |    2.75e+11    |   1.05e+06   |  0.00e+00  |   [3758096384]    |    [137438953472, 137438953472]    |   [536870912]    |       1.90e-01       |       1.09e+00       |       2.18e-01        |  3.36e+08  |   100.10%    |
|    32    |   True   |   128    |   True   |    0.0    |   4096   |    32    |    32    |   0.01    |   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |   [[1, 4096, 32, 128], [1, 4096, 32, 128], [1, 4096, 32, 128]]    |  bf16  |      751.02      |      801.41       |      831.15      |      269.00       |    2.75e+11    |   5.24e+05   |  0.00e+00  |   [3758096384]    |    [137438953472, 137438953472]    |   [536870912]    |       1.97e-01       |       1.13e+00       |       2.25e-01        |  1.68e+08  |    51.71%    |
