Test Case: L40S_aten_baddbmm
|  B  |  M  |  K   |  N   |                       input_shape                       | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
| 16  |  2  |  64  |  32  |        [[16, 2, 32], [16, 2, 64], [16, 64, 32]]         | bf16  |      28.89       |       29.4        |      30.08       |        2.1         | 1.31e+05 | 3.58e+04 |       0.0%       |     0.29%     |
| 32  |  2  |  64  |  32  |        [[32, 2, 32], [32, 2, 64], [32, 64, 32]]         | bf16  |       29.1       |       29.33       |       29.6       |        2.21        | 2.62e+05 | 7.17e+04 |       0.0%       |     0.57%     |
| 64  |  2  |  64  |  32  |        [[64, 2, 32], [64, 2, 64], [64, 64, 32]]         | bf16  |      29.14       |       29.49       |      30.09       |        2.41        | 5.24e+05 | 1.43e+05 |       0.0%       |     1.14%     |
| 128 |  2  |  64  |  32  |       [[128, 2, 32], [128, 2, 64], [128, 64, 32]]       | bf16  |      28.94       |       29.08       |      29.18       |        2.83        | 1.05e+06 | 2.87e+05 |      0.01%       |     2.29%     |
|  1  |  4  |  64  |  32  |          [[1, 4, 32], [1, 4, 64], [1, 64, 32]]          | bf16  |      28.91       |       29.32       |      29.81       |        2.01        | 1.64e+04 | 2.43e+03 |       0.0%       |     0.02%     |
|  2  |  4  |  64  |  32  |          [[2, 4, 32], [2, 4, 64], [2, 64, 32]]          | bf16  |      28.91       |       29.15       |      29.39       |        2.01        | 3.28e+04 | 4.86e+03 |       0.0%       |     0.04%     |
|  4  |  4  |  64  |  32  |          [[4, 4, 32], [4, 4, 64], [4, 64, 32]]          | bf16  |      28.97       |       29.58       |      30.14       |        2.03        | 6.55e+04 | 9.73e+03 |       0.0%       |     0.08%     |
|  8  |  4  |  64  |  32  |          [[8, 4, 32], [8, 4, 64], [8, 64, 32]]          | bf16  |      28.99       |       29.16       |       29.4       |        2.06        | 1.31e+05 | 1.95e+04 |       0.0%       |     0.16%     |
| 16  |  4  |  64  |  32  |        [[16, 4, 32], [16, 4, 64], [16, 64, 32]]         | bf16  |      29.09       |       29.28       |      29.64       |        2.11        | 2.62e+05 | 3.89e+04 |       0.0%       |     0.31%     |
| 32  |  4  |  64  |  32  |        [[32, 4, 32], [32, 4, 64], [32, 64, 32]]         | bf16  |      29.12       |       29.26       |      29.52       |        2.23        | 5.24e+05 | 7.78e+04 |       0.0%       |     0.62%     |
| 64  |  4  |  64  |  32  |        [[64, 4, 32], [64, 4, 64], [64, 64, 32]]         | bf16  |      28.96       |       29.45       |      29.97       |        2.45        | 1.05e+06 | 1.56e+05 |      0.01%       |     1.24%     |
| 128 |  4  |  64  |  32  |       [[128, 4, 32], [128, 4, 64], [128, 64, 32]]       | bf16  |      29.06       |       29.15       |      29.33       |        2.9         | 2.10e+06 | 3.11e+05 |      0.02%       |     2.48%     |
|  1  |  8  |  64  |  32  |          [[1, 8, 32], [1, 8, 64], [1, 64, 32]]          | bf16  |      28.99       |       29.24       |      29.56       |        2.01        | 3.28e+04 | 2.82e+03 |       0.0%       |     0.02%     |
|  2  |  8  |  64  |  32  |          [[2, 8, 32], [2, 8, 64], [2, 64, 32]]          | bf16  |      29.02       |       29.21       |      29.56       |        2.02        | 6.55e+04 | 5.63e+03 |       0.0%       |     0.04%     |
|  4  |  8  |  64  |  32  |          [[4, 8, 32], [4, 8, 64], [4, 64, 32]]          | bf16  |      28.73       |       29.0        |      29.38       |        2.03        | 1.31e+05 | 1.13e+04 |       0.0%       |     0.09%     |
|  8  |  8  |  64  |  32  |          [[8, 8, 32], [8, 8, 64], [8, 64, 32]]          | bf16  |      28.92       |       29.13       |      29.63       |        2.07        | 2.62e+05 | 2.25e+04 |       0.0%       |     0.18%     |
| 16  |  8  |  64  |  32  |        [[16, 8, 32], [16, 8, 64], [16, 64, 32]]         | bf16  |       29.1       |       29.59       |      30.48       |        2.13        | 5.24e+05 | 4.51e+04 |       0.0%       |     0.36%     |
| 32  |  8  |  64  |  32  |        [[32, 8, 32], [32, 8, 64], [32, 64, 32]]         | bf16  |      28.89       |       29.13       |      29.28       |        2.26        | 1.05e+06 | 9.01e+04 |      0.01%       |     0.72%     |
| 64  |  8  |  64  |  32  |        [[64, 8, 32], [64, 8, 64], [64, 64, 32]]         | bf16  |      28.98       |       29.38       |       29.8       |        2.52        | 2.10e+06 | 1.80e+05 |      0.02%       |     1.44%     |
| 128 |  8  |  64  |  32  |       [[128, 8, 32], [128, 8, 64], [128, 64, 32]]       | bf16  |      28.75       |       28.96       |      29.13       |        3.04        | 4.19e+06 | 3.60e+05 |      0.04%       |     2.9%      |
|  1  | 32  |  64  |  32  |         [[1, 32, 32], [1, 32, 64], [1, 64, 32]]         | bf16  |      31.99       |       32.16       |      32.33       |        2.01        | 1.31e+05 | 5.12e+03 |       0.0%       |     0.04%     |
|  2  | 32  |  64  |  32  |         [[2, 32, 32], [2, 32, 64], [2, 64, 32]]         | bf16  |      28.85       |       29.1        |      29.49       |        2.03        | 2.62e+05 | 1.02e+04 |       0.0%       |     0.08%     |
|  4  | 32  |  64  |  32  |         [[4, 32, 32], [4, 32, 64], [4, 64, 32]]         | bf16  |      28.81       |       29.04       |      29.33       |        2.06        | 5.24e+05 | 2.05e+04 |       0.0%       |     0.16%     |
|  8  | 32  |  64  |  32  |         [[8, 32, 32], [8, 32, 64], [8, 64, 32]]         | bf16  |      28.74       |       28.95       |      29.25       |        2.12        | 1.05e+06 | 4.10e+04 |      0.01%       |     0.33%     |
| 16  | 32  |  64  |  32  |       [[16, 32, 32], [16, 32, 64], [16, 64, 32]]        | bf16  |      28.86       |       29.16       |       29.6       |        2.24        | 2.10e+06 | 8.19e+04 |      0.02%       |     0.66%     |
| 32  | 32  |  64  |  32  |       [[32, 32, 32], [32, 32, 64], [32, 64, 32]]        | bf16  |      28.97       |       29.14       |      29.45       |        2.47        | 4.19e+06 | 1.64e+05 |      0.04%       |     1.31%     |
| 64  | 32  |  64  |  32  |       [[64, 32, 32], [64, 32, 64], [64, 64, 32]]        | bf16  |      29.12       |       29.25       |      29.44       |        2.95        | 8.39e+06 | 3.28e+05 |      0.08%       |     2.6%      |
| 128 | 32  |  64  |  32  |      [[128, 32, 32], [128, 32, 64], [128, 64, 32]]      | bf16  |      28.93       |       29.08       |      29.24       |        3.9         | 1.68e+07 | 6.55e+05 |      0.16%       |     5.24%     |
|  1  | 64  |  64  |  32  |         [[1, 64, 32], [1, 64, 64], [1, 64, 32]]         | bf16  |      31.88       |       32.08       |      32.31       |        2.02        | 2.62e+05 | 8.19e+03 |       0.0%       |     0.06%     |
|  2  | 64  |  64  |  32  |         [[2, 64, 32], [2, 64, 64], [2, 64, 32]]         | bf16  |      28.97       |       29.19       |      29.57       |        2.05        | 5.24e+05 | 1.64e+04 |       0.0%       |     0.13%     |
|  4  | 64  |  64  |  32  |         [[4, 64, 32], [4, 64, 64], [4, 64, 32]]         | bf16  |       28.7       |       28.87       |       29.1       |        2.09        | 1.05e+06 | 3.28e+04 |      0.01%       |     0.26%     |
|  8  | 64  |  64  |  32  |         [[8, 64, 32], [8, 64, 64], [8, 64, 32]]         | bf16  |       29.1       |       29.22       |      29.36       |        2.19        | 2.10e+06 | 6.55e+04 |      0.02%       |     0.52%     |
| 16  | 64  |  64  |  32  |       [[16, 64, 32], [16, 64, 64], [16, 64, 32]]        | bf16  |      29.04       |       29.23       |      29.45       |        2.38        | 4.19e+06 | 1.31e+05 |      0.04%       |     1.04%     |
| 32  | 64  |  64  |  32  |       [[32, 64, 32], [32, 64, 64], [32, 64, 32]]        | bf16  |      28.92       |       29.1        |      29.25       |        2.76        | 8.39e+06 | 2.62e+05 |      0.08%       |     2.1%      |
| 64  | 64  |  64  |  32  |       [[64, 64, 32], [64, 64, 64], [64, 64, 32]]        | bf16  |      29.22       |       29.78       |      30.51       |        3.52        | 1.68e+07 | 5.24e+05 |      0.16%       |     4.15%     |
| 128 | 64  |  64  |  32  |      [[128, 64, 32], [128, 64, 64], [128, 64, 32]]      | bf16  |       28.9       |       29.06       |      29.24       |        5.03        | 3.36e+07 | 1.05e+06 |      0.32%       |     8.4%      |
|  1  | 128 |  64  |  32  |        [[1, 128, 32], [1, 128, 64], [1, 64, 32]]        | bf16  |      31.86       |       32.03       |      32.28       |        2.04        | 5.24e+05 | 1.43e+04 |       0.0%       |     0.1%      |
|  2  | 128 |  64  |  32  |        [[2, 128, 32], [2, 128, 64], [2, 64, 32]]        | bf16  |      29.11       |       29.31       |      29.51       |        2.08        | 1.05e+06 | 2.87e+04 |      0.01%       |     0.23%     |
|  4  | 128 |  64  |  32  |        [[4, 128, 32], [4, 128, 64], [4, 64, 32]]        | bf16  |       29.0       |       29.06       |      29.21       |        2.17        | 2.10e+06 | 5.73e+04 |      0.02%       |     0.46%     |
|  8  | 128 |  64  |  32  |        [[8, 128, 32], [8, 128, 64], [8, 64, 32]]        | bf16  |      28.88       |       29.17       |      29.52       |        2.33        | 4.19e+06 | 1.15e+05 |      0.04%       |     0.92%     |
| 16  | 128 |  64  |  32  |      [[16, 128, 32], [16, 128, 64], [16, 64, 32]]       | bf16  |      29.04       |       29.19       |      29.33       |        2.66        | 8.39e+06 | 2.29e+05 |      0.08%       |     1.83%     |
| 32  | 128 |  64  |  32  |      [[32, 128, 32], [32, 128, 64], [32, 64, 32]]       | bf16  |      28.97       |       29.22       |       29.6       |        3.33        | 1.68e+07 | 4.59e+05 |      0.16%       |     3.67%     |
| 64  | 128 |  64  |  32  |      [[64, 128, 32], [64, 128, 64], [64, 64, 32]]       | bf16  |      28.73       |       28.9        |      29.08       |        4.65        | 3.36e+07 | 9.18e+05 |      0.32%       |     7.39%     |
| 128 | 128 |  64  |  32  |     [[128, 128, 32], [128, 128, 64], [128, 64, 32]]     | bf16  |      28.78       |       28.92       |      29.08       |        7.31        | 6.71e+07 | 1.84e+06 |      0.64%       |    14.76%     |
|  1  | 256 |  64  |  32  |        [[1, 256, 32], [1, 256, 64], [1, 64, 32]]        | bf16  |      32.13       |       32.25       |      32.31       |        2.08        | 1.05e+06 | 2.66e+04 |      0.01%       |     0.19%     |
|  2  | 256 |  64  |  32  |        [[2, 256, 32], [2, 256, 64], [2, 64, 32]]        | bf16  |      28.87       |       29.13       |      29.39       |        2.15        | 2.10e+06 | 5.32e+04 |      0.02%       |     0.43%     |
