test case : L40S_flash_attn::flash_attn.flash_attn_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |                            input_shape                            | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D  |        flops_2D        | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[4, 256, 1, 64], [4, 256, 1, 64], [4, 256, 1, 64]]        |  bf16  |       7.92       |       7.96        |       8.01       |       3.52        |  [7168]   |    [131072, 131072]    |  [1024]   |      4.00e-05      |      1.02e-04      |      8.24e-05       |  5.24e+05  |       0.00%        |       0.01%        |        0.01%        |    15.33%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[8, 256, 1, 64], [8, 256, 1, 64], [8, 256, 1, 64]]        |  bf16  |       7.99       |       8.01        |       8.02       |       5.03        |  [14336]  |    [262144, 262144]    |  [2048]   |      7.94e-05      |      2.02e-04      |      1.63e-04       |  1.05e+06  |       0.01%        |       0.02%        |        0.02%        |    30.40%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[16, 256, 1, 64], [16, 256, 1, 64], [16, 256, 1, 64]]       |  bf16  |       8.04       |       8.07        |       8.09       |       8.07        |  [28672]  |    [524288, 524288]    |  [4096]   |      1.58e-04      |      4.01e-04      |      3.24e-04       |  2.10e+06  |       0.02%        |       0.04%        |        0.03%        |    60.36%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[32, 256, 1, 64], [32, 256, 1, 64], [32, 256, 1, 64]]       |  bf16  |       8.30       |       8.33        |       8.39       |       14.14       |  [57344]  |   [1048576, 1048576]   |  [8192]   |      3.06e-04      |      7.77e-04      |      6.28e-04       |  4.19e+06  |       0.03%        |       0.08%        |        0.06%        |   116.99%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[1, 512, 1, 64], [1, 512, 1, 64], [1, 512, 1, 64]]        |  bf16  |       7.77       |       7.80        |       7.82       |       2.76        |  [3584]   |     [65536, 65536]     |   [512]   |      2.04e-05      |      5.18e-05      |      4.19e-05       |  2.62e+05  |       0.00%        |       0.01%        |        0.00%        |    7.81%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[2, 512, 1, 64], [2, 512, 1, 64], [2, 512, 1, 64]]        |  bf16  |       7.90       |       7.92        |       7.96       |       3.52        |  [7168]   |    [131072, 131072]    |  [1024]   |      4.01e-05      |      1.02e-04      |      8.25e-05       |  5.24e+05  |       0.00%        |       0.01%        |        0.01%        |    15.36%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[4, 512, 1, 64], [4, 512, 1, 64], [4, 512, 1, 64]]        |  bf16  |       8.31       |       8.33        |       8.36       |       5.03        |  [14336]  |    [262144, 262144]    |  [2048]   |      7.63e-05      |      1.94e-04      |      1.57e-04       |  1.05e+06  |       0.01%        |       0.02%        |        0.02%        |    29.23%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |        [[8, 512, 1, 64], [8, 512, 1, 64], [8, 512, 1, 64]]        |  bf16  |       9.20       |       9.23        |       9.28       |       8.07        |  [28672]  |    [524288, 524288]    |  [4096]   |      1.38e-04      |      3.50e-04      |      2.83e-04       |  2.10e+06  |       0.01%        |       0.04%        |        0.03%        |    52.75%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[16, 512, 1, 64], [16, 512, 1, 64], [16, 512, 1, 64]]       |  bf16  |      12.72       |       12.73       |      12.76       |       14.14       |  [57344]  |   [1048576, 1048576]   |  [8192]   |      1.99e-04      |      5.07e-04      |      4.10e-04       |  4.19e+06  |       0.02%        |       0.05%        |        0.04%        |    76.35%    |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |      [[32, 512, 1, 64], [32, 512, 1, 64], [32, 512, 1, 64]]       |  bf16  |      13.27       |       13.32       |      13.35       |       26.27       | [114688]  |   [2097152, 2097152]   |  [16384]  |      3.82e-04      |      9.72e-04      |      7.86e-04       |  8.39e+06  |       0.04%        |       0.10%        |        0.08%        |   146.33%    |
