Test Case: L40S_apex_fused_layer_norm_cuda.rms_forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
|  256  |  192  |  [192]  | 0.0001  |   [[256, 192]]   | bf16  |       2.7        |       2.72        |       2.74       |        2.28        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.32%        |        0.32%         |     8.43%     |
|  512  |  192  |  [192]  | 0.0001  |   [[512, 192]]   | bf16  |       2.98       |       3.12        |       3.32       |        2.57        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.58%        |        0.58%         |    15.27%     |
| 1024  |  192  |  [192]  | 0.0001  |  [[1024, 192]]   | bf16  |       3.3        |       3.32        |       3.36       |        3.14        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        1.04%        |        1.04%         |    27.58%     |
| 2048  |  192  |  [192]  | 0.0001  |  [[2048, 192]]   | bf16  |       3.65       |       3.67        |       3.69       |        4.28        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        1.88%        |        1.88%         |    49.88%     |
| 4096  |  192  |  [192]  | 0.0001  |  [[4096, 192]]   | bf16  |       4.95       |       4.97        |       5.01       |        6.55        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        2.78%        |        2.78%         |    73.55%     |
| 8192  |  192  |  [192]  | 0.0001  |  [[8192, 192]]   | bf16  |       7.62       |       7.67        |       7.69       |        11.1        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        3.61%        |        3.61%         |    95.56%     |
| 16384 |  192  |  [192]  | 0.0001  |  [[16384, 192]]  | bf16  |      12.58       |       12.63       |      12.69       |        20.2        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        4.37%        |        4.37%         |    115.77%    |
| 32768 |  192  |  [192]  | 0.0001  |  [[32768, 192]]  | bf16  |      22.48       |       22.51       |      22.55       |       38.41        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        4.89%        |        4.89%         |    129.57%    |
| 65536 |  192  |  [192]  | 0.0001  |  [[65536, 192]]  | bf16  |      45.12       |       45.24       |      45.31       |       74.82        | 1.01e+08 | 1.26e+07  | 2.52e+07 |        4.87%        |        4.87%         |    129.11%    |
|   1   | 3072  | [3072]  | 0.0001  |   [[1, 3072]]    | bf16  |       3.55       |       3.57        |       3.6        |        2.02        | 2.46e+04 | 3.07e+03  | 6.14e+03 |        0.02%        |        0.02%         |     0.4%      |
|   2   | 3072  | [3072]  | 0.0001  |   [[2, 3072]]    | bf16  |       3.63       |       3.65        |       3.72       |        2.04        | 4.92e+04 | 6.14e+03  | 1.23e+04 |        0.03%        |        0.03%         |     0.78%     |
|   4   | 3072  | [3072]  | 0.0001  |   [[4, 3072]]    | bf16  |       3.62       |       3.65        |       3.69       |        2.07        | 9.83e+04 | 1.23e+04  | 2.46e+04 |        0.06%        |        0.06%         |     1.57%     |
|   8   | 3072  | [3072]  | 0.0001  |   [[8, 3072]]    | bf16  |       3.66       |       3.69        |       3.74       |        2.14        | 1.97e+05 | 2.46e+04  | 4.92e+04 |        0.12%        |        0.12%         |     3.11%     |
|  16   | 3072  | [3072]  | 0.0001  |   [[16, 3072]]   | bf16  |       4.59       |       4.62        |       4.67       |        2.28        | 3.93e+05 | 4.92e+04  | 9.83e+04 |        0.19%        |        0.19%         |     4.96%     |
|  32   | 3072  | [3072]  | 0.0001  |   [[32, 3072]]   | bf16  |       4.6        |       4.63        |       4.64       |        2.57        | 7.86e+05 | 9.83e+04  | 1.97e+05 |        0.37%        |        0.37%         |     9.89%     |
|  64   | 3072  | [3072]  | 0.0001  |   [[64, 3072]]   | bf16  |       4.68       |        4.7        |       4.72       |        3.14        | 1.57e+06 | 1.97e+05  | 3.93e+05 |        0.73%        |        0.73%         |    19.45%     |
|  128  | 3072  | [3072]  | 0.0001  |  [[128, 3072]]   | bf16  |       5.05       |       5.16        |       5.22       |        4.28        | 3.15e+06 | 3.93e+05  | 7.86e+05 |        1.36%        |        1.36%         |    36.05%     |
|  256  | 3072  | [3072]  | 0.0001  |  [[256, 3072]]   | bf16  |       4.83       |       4.85        |       4.9        |        6.55        | 6.29e+06 | 7.86e+05  | 1.57e+06 |        2.84%        |        2.84%         |    75.38%     |
|  512  | 3072  | [3072]  | 0.0001  |  [[512, 3072]]   | bf16  |       5.42       |       5.45        |       5.46       |        11.1        | 1.26e+07 | 1.57e+06  | 3.15e+06 |        5.07%        |        5.07%         |    134.35%    |
| 1024  | 3072  | [3072]  | 0.0001  |  [[1024, 3072]]  | bf16  |       8.52       |       8.61        |       8.67       |        20.2        | 2.52e+07 | 3.15e+06  | 6.29e+06 |        6.45%        |        6.45%         |    170.93%    |
| 2048  | 3072  | [3072]  | 0.0001  |  [[2048, 3072]]  | bf16  |      11.82       |       11.86       |      11.95       |       38.41        | 5.03e+07 | 6.29e+06  | 1.26e+07 |        9.3%         |         9.3%         |    246.42%    |
| 4096  | 3072  | [3072]  | 0.0001  |  [[4096, 3072]]  | bf16  |      20.89       |       20.92       |      20.96       |       74.82        | 1.01e+08 | 1.26e+07  | 2.52e+07 |       10.52%        |        10.52%        |    278.86%    |
